timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,195,515,479,220,169,-20.60,-20.11,5501.36,-5167.06,14012.60,-254.46,326.17,-237.43
10,196,515,478,219,169,-20.69,-20.06,5500.89,-5181.91,14000.57,-248.09,341.26,-267.26
20,195,515,479,219,169,-20.61,-19.95,5492.05,-5175.21,13981.54,-219.09,356.20,-292.95
30,196,515,479,219,169,-20.40,-19.87,5484.04,-5144.65,13972.86,-196.88,362.94,-318.00
40,196,515,479,219,170,-20.26,-19.76,5463.24,-5113.02,13964.82,-188.19,364.34,-336.60
50,196,516,479,219,169,-20.07,-19.58,5437.88,-5082.57,13968.58,-179.53,367.62,-346.22
60,196,516,479,219,169,-19.85,-19.52,5424.58,-5038.64,13975.55,-174.65,361.84,-356.26
70,196,516,480,219,169,-19.69,-19.51,5420.76,-4998.91,13981.77,-189.52,351.75,-354.80
80,196,516,480,219,169,-19.66,-19.48,5417.92,-4973.16,13984.68,-201.59,350.76,-337.41
90,196,516,481,220,169,-19.61,-19.46,5416.62,-4961.10,13987.65,-198.01,348.22,-308.29
100,196,515,481,220,169,-19.56,-19.50,5418.39,-4956.05,13991.66,-185.76,333.91,-276.07
110,197,516,481,220,170,-19.50,-19.57,5422.47,-4947.45,13992.88,-165.27,315.02,-245.32
120,197,516,481,220,170,-19.47,-19.64,5423.15,-4944.07,13990.64,-157.56,293.42,-215.65
130,197,516,481,220,169,-19.41,-19.62,5420.79,-4951.67,13983.70,-130.43,290.30,-176.02
140,198,516,481,220,170,-19.31,-19.61,5418.35,-4939.09,13986.92,-113.41,283.03,-152.07
150,197,516,480,220,169,-19.27,-19.64,5415.63,-4940.33,13991.17,-106.84,266.68,-133.37
160,197,516,480,220,169,-19.35,-19.65,5414.25,-4938.52,13994.21,-121.20,260.30,-129.40
170,197,516,480,220,169,-19.36,-19.73,5424.94,-4950.79,13997.70,-108.09,246.48,-124.68
180,197,516,480,220,170,-19.23,-19.83,5439.29,-4934.65,13992.42,-84.08,236.51,-106.14
190,197,516,480,220,169,-19.28,-19.87,5448.93,-4925.32,13989.40,-91.33,234.73,-97.19
