timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,133,448,424,204,186,-164.14,3.42,-869.86,-4794.38,-16545.65,-583.37,297.08,-47.98
10,133,448,424,204,185,-164.31,3.43,-861.17,-4781.26,-16563.97,-608.70,238.13,-81.63
20,133,448,424,204,184,-164.50,3.32,-810.51,-4779.40,-16599.97,-628.27,181.32,-106.15
30,133,447,423,204,185,-164.36,3.05,-724.78,-4793.63,-16659.57,-567.65,128.86,-95.59
40,133,448,423,204,184,-164.44,2.53,-635.15,-4782.55,-16710.79,-539.72,143.06,-98.91
50,134,448,423,203,184,-164.46,2.06,-575.19,-4789.22,-16728.05,-528.84,177.91,-115.26
60,133,447,424,202,184,-164.43,1.60,-521.63,-4791.16,-16730.65,-503.39,220.91,-139.50
70,133,447,423,203,184,-164.38,1.29,-484.75,-4806.20,-16722.32,-496.97,249.37,-161.88
80,133,447,423,202,184,-164.37,0.97,-442.11,-4812.69,-16735.20,-470.02,275.05,-171.83
90,133,447,423,202,184,-164.51,0.65,-403.20,-4817.66,-16740.24,-497.12,307.80,-189.94
100,134,447,423,203,184,-164.60,0.44,-371.04,-4809.97,-16754.63,-487.37,323.96,-173.44
110,134,447,423,202,184,-164.66,0.30,-342.29,-4795.48,-16762.90,-471.55,321.06,-172.22
120,134,445,423,201,184,-164.57,0.31,-311.58,-4789.50,-16764.15,-429.12,285.06,-187.56
130,134,443,422,200,184,-164.58,0.29,-292.20,-4784.23,-16789.34,-407.12,265.95,-197.63
140,134,443,421,199,184,-164.64,0.22,-277.99,-4777.02,-16797.67,-405.76,268.56,-229.70
150,134,443,421,198,184,-164.76,0.22,-265.29,-4775.56,-16800.59,-424.87,256.88,-283.22
160,134,443,421,198,183,-164.80,0.29,-259.62,-4769.39,-16775.56,-433.38,231.23,-320.75
170,133,443,421,198,184,-164.95,0.24,-241.64,-4747.92,-16786.18,-436.41,222.32,-306.87
180,134,442,421,199,183,-164.89,0.22,-241.36,-4740.32,-16786.87,-410.29,223.16,-245.47
190,133,442,421,198,183,-164.96,0.18,-223.69,-4725.30,-16780.33,-397.82,217.50,-210.45
200,134,443,421,198,184,-164.97,0.24,-205.51,-4713.84,-16776.71,-386.73,174.87,-215.18
210,134,443,420,198,183,-165.04,0.20,-152.43,-4698.95,-16809.48,-372.20,121.63,-207.62
220,134,442,416,197,183,-165.04,-0.04,-102.21,-4685.60,-16845.00,-338.79,122.10,-187.29
230,134,440,413,196,183,-165.04,-0.34,-60.50,-4684.32,-16866.75,-323.20,148.69,-165.97
240,134,440,413,195,183,-165.01,-0.47,-38.08,-4678.70,-16854.21,-302.74,163.31,-147.67
250,134,440,412,196,183,-165.01,-0.55,-13.57,-4658.17,-16873.10,-275.60,159.09,-122.74
260,133,440,411,195,183,-164.95,-0.61,-1.49,-4657.66,-16882.45,-250.22,162.09,-105.55
270,134,439,412,196,182,-164.99,-0.76,25.78,-4652.38,-16895.52,-243.96,173.28,-107.03
280,134,440,412,196,183,-165.01,-0.88,42.69,-4651.16,-16910.95,-239.46,188.32,-97.62
290,134,439,412,196,182,-165.01,-0.98,53.76,-4641.40,-16917.40,-222.74,208.20,-60.49
300,133,439,412,197,182,-165.06,-1.07,57.87,-4624.13,-16918.93,-220.55,239.09,-16.82
310,134,439,412,196,182,-164.86,-1.03,47.78,-4644.32,-16895.38,-199.37,250.04,32.97
320,133,439,410,196,182,-164.79,-0.98,32.59,-4633.91,-16897.81,-156.86,250.44,84.22
330,133,440,410,197,182,-164.83,-0.88,20.56,-4617.21,-16887.12,-151.31,237.17,105.16
340,134,440,409,196,182,-164.79,-0.80,24.33,-4627.95,-16887.16,-143.30,223.01,117.80
350,134,440,409,196,182,-164.68,-0.72,25.31,-4640.35,-16894.00,-121.73,200.96,131.91
360,134,440,409,197,182,-164.62,-0.74,36.25,-4645.73,-16916.91,-93.30,187.51,145.97
370,134,440,410,197,182,-164.60,-0.76,50.64,-4640.85,-16939.86,-65.83,186.68,166.57
380,134,440,410,196,182,-164.56,-0.92,72.90,-4639.41,-16954.67,-40.84,205.25,183.69
390,134,441,410,197,183,-164.56,-1.11,97.06,-4633.04,-16956.33,-32.40,232.94,188.11
400,134,441,410,197,183,-164.55,-1.22,118.61,-4621.58,-16959.72,-7.73,241.79,195.25
410,134,441,410,197,182,-164.58,-1.41,154.48,-4616.90,-16980.93,1.01,259.50,196.54
420,134,441,410,196,182,-164.34,-1.62,204.15,-4646.26,-17012.48,48.91,264.98,212.71
430,134,441,409,196,182,-164.18,-2.04,273.34,-4657.35,-17051.86,99.51,312.28,213.78
440,134,441,409,196,182,-164.09,-2.52,317.68,-4660.28,-17066.46,126.59,393.76,179.19
450,134,442,410,197,182,-163.91,-2.80,335.99,-4676.27,-17057.54,159.06,459.27,141.78
460,134,442,409,197,182,-163.90,-3.02,349.79,-4668.65,-17037.06,171.36,518.71,89.89
470,134,442,410,197,182,-163.88,-3.10,352.70,-4673.62,-17004.61,163.69,546.88,27.09
480,134,443,410,197,182,-163.93,-3.06,358.47,-4667.34,-16971.58,155.95,538.83,-21.81
490,136,443,410,197,182,-164.16,-2.94,366.75,-4648.17,-16952.40,110.96,505.79,-44.92
500,139,444,410,197,183,-164.23,-2.81,374.41,-4657.56,-16948.18,76.66,471.30,-53.97
510,141,444,411,197,182,-164.37,-2.83,385.29,-4648.88,-16962.77,56.77,469.14,-68.47
520,142,445,411,197,182,-164.44,-2.82,382.22,-4647.04,-16952.83,37.54,477.03,-89.80
530,142,445,411,197,183,-164.51,-2.68,369.51,-4643.49,-16935.39,19.61,456.68,-97.66
540,143,445,411,197,183,-164.51,-2.51,361.84,-4646.71,-16920.42,12.73,427.14,-88.78
550,143,445,411,197,182,-164.49,-2.32,350.74,-4647.18,-16909.00,6.24,391.39,-70.09
560,144,445,411,197,181,-164.56,-2.25,351.41,-4637.22,-16904.95,-6.47,369.97,-50.43
570,144,445,412,197,183,-164.56,-2.27,364.64,-4647.36,-16910.50,-16.65,354.82,-13.61
580,144,445,412,198,184,-164.52,-2.35,383.20,-4653.99,-16907.38,-13.11,352.58,34.82
590,144,445,412,198,184,-164.30,-2.53,432.84,-4691.29,-16915.81,-0.31,349.70,69.03
600,144,445,413,197,183,-164.07,-2.97,528.20,-4732.33,-16951.02,42.56,361.91,80.83
610,144,445,413,197,183,-163.91,-3.49,596.39,-4767.91,-16988.66,66.48,438.52,66.93
620,144,445,414,197,183,-163.86,-3.74,597.37,-4778.71,-16944.63,60.26,523.14,19.59
630,144,445,413,197,183,-163.84,-3.39,531.70,-4775.38,-16854.40,35.69,526.14,-34.49
640,144,445,414,197,183,-163.76,-2.96,496.72,-4780.41,-16812.08,31.31,451.58,-60.37
650,145,445,414,197,184,-163.68,-2.83,530.28,-4803.39,-16836.67,38.74,372.70,-50.50
660,145,445,416,194,183,-163.56,-2.93,591.97,-4825.02,-16872.84,61.66,327.06,6.98
670,146,446,416,193,184,-163.42,-3.17,654.17,-4834.37,-16924.40,114.27,321.06,82.28
680,145,446,416,192,184,-163.33,-3.28,669.06,-4833.05,-16941.38,162.66,341.46,115.81
690,145,446,416,194,183,-163.42,-3.35,655.61,-4809.00,-16922.71,170.73,378.74,89.82
700,145,446,416,193,184,-163.53,-3.26,630.43,-4795.95,-16894.57,159.04,392.50,50.48
710,145,446,415,195,184,-163.70,-3.16,615.71,-4766.15,-16886.04,145.94,393.27,44.46
720,146,446,416,194,184,-163.70,-3.07,596.72,-4760.84,-16858.94,142.74,387.16,76.78
730,145,446,416,195,183,-163.56,-2.99,591.09,-4785.80,-16854.19,151.00,381.95,122.15
740,145,446,416,195,184,-163.31,-2.95,591.73,-4831.71,-16838.08,162.30,372.35,151.24
750,145,445,416,195,184,-163.03,-2.84,608.94,-4879.73,-16825.78,183.74,317.79,152.38
760,145,446,416,194,184,-162.86,-2.80,642.50,-4916.94,-16830.69,190.30,270.00,139.36
770,146,446,416,194,184,-162.77,-2.79,668.97,-4930.09,-16844.75,208.69,239.90,154.39
780,145,446,416,192,184,-162.81,-2.80,677.92,-4916.19,-16859.32,227.80,231.45,189.52
790,145,446,416,194,183,-162.77,-2.72,666.63,-4923.58,-16849.35,230.76,223.18,220.89
800,145,446,416,194,184,-162.82,-2.66,664.30,-4922.00,-16858.08,223.67,205.22,217.25
810,145,446,415,194,184,-162.82,-2.52,660.48,-4938.30,-16853.78,201.19,169.11,176.94
820,145,446,416,194,184,-162.93,-2.52,681.46,-4935.58,-16871.69,185.88,137.50,129.44
830,145,446,415,194,183,-162.96,-2.53,688.78,-4946.00,-16866.10,169.74,127.63,98.52
840,145,446,415,195,183,-162.95,-2.57,704.15,-4948.10,-16869.80,175.30,119.45,87.99
850,145,446,415,195,184,-163.02,-2.62,708.14,-4943.50,-16855.51,162.93,127.53,69.39
860,145,446,415,195,184,-163.05,-2.52,697.93,-4941.72,-16836.73,154.39,112.10,40.22
870,145,446,416,194,183,-163.15,-2.57,706.23,-4938.84,-16832.69,131.52,114.44,2.21
