timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,96,520,507,236,181,9.86,-62.82,14411.55,1251.89,7263.08,140.94,34.29,31.60
10,96,520,506,236,181,9.83,-62.78,14402.97,1244.89,7267.33,150.29,33.63,33.22
20,95,520,506,235,181,9.87,-62.76,14385.42,1241.65,7280.36,169.43,16.54,30.71
30,96,520,507,235,181,9.93,-62.75,14376.95,1244.77,7301.54,184.90,-15.83,29.67
40,96,520,507,236,182,10.05,-62.81,14375.51,1252.93,7297.46,182.21,-31.64,37.64
50,95,520,507,236,182,10.12,-62.91,14374.93,1252.68,7287.39,195.55,-47.51,49.56
60,96,520,507,236,182,10.29,-62.97,14377.18,1260.05,7281.82,224.67,-61.83,59.18
70,96,520,507,236,183,10.45,-63.05,14387.12,1270.44,7280.53,223.24,-88.44,67.72
80,96,520,507,237,184,10.47,-63.23,14398.97,1271.52,7263.90,217.73,-113.22,76.13
90,95,520,507,237,183,10.51,-63.39,14410.42,1267.15,7244.11,232.24,-129.11,85.63
100,96,520,507,237,183,10.62,-63.55,14417.30,1268.59,7221.10,245.93,-144.15,102.70
110,96,520,507,236,183,10.61,-63.67,14422.03,1265.56,7208.65,247.18,-161.65,118.91
120,96,520,507,237,183,10.54,-63.80,14437.73,1254.48,7190.21,239.12,-164.46,137.91
130,96,520,507,236,183,10.52,-63.88,14443.25,1249.16,7162.70,241.07,-158.74,156.47
140,95,520,507,237,184,10.48,-63.97,14447.88,1242.30,7138.37,238.16,-154.05,169.35
150,96,520,507,237,183,10.43,-64.12,14458.29,1235.58,7102.25,224.80,-147.00,181.48
160,96,520,507,237,183,10.38,-64.21,14469.97,1227.81,7069.14,217.91,-127.50,194.80
170,95,520,507,237,183,10.32,-64.25,14490.67,1222.41,7043.68,220.87,-103.28,202.06
180,95,520,507,236,183,10.26,-64.17,14504.14,1212.69,7033.50,212.77,-64.91,208.31
190,95,520,507,236,183,9.93,-64.03,14505.13,1188.06,7042.22,193.34,-39.17,210.25
200,96,520,507,236,183,9.67,-63.96,14516.28,1167.06,7058.71,188.92,-30.96,198.98
210,96,520,507,236,184,9.60,-63.93,14524.86,1164.30,7058.77,183.37,-25.96,191.68
220,96,520,507,236,184,9.52,-63.94,14533.22,1161.69,7066.43,177.45,-27.51,186.60
230,96,520,507,236,184,9.54,-63.93,14538.56,1161.20,7064.51,178.28,-22.24,182.12
240,96,520,507,236,183,9.61,-63.95,14540.03,1159.74,7054.09,185.02,-24.17,175.01
250,95,520,507,237,183,9.70,-63.92,14537.63,1163.16,7062.38,193.77,-32.87,169.76
260,96,520,507,237,184,9.65,-63.92,14532.95,1158.40,7084.06,203.13,-65.92,166.23
270,95,520,507,236,183,9.65,-64.01,14549.50,1159.48,7082.46,195.57,-90.33,166.11
280,97,520,507,237,184,9.55,-64.10,14559.22,1145.30,7071.94,195.84,-93.01,167.61
290,96,520,507,236,183,9.65,-64.17,14564.26,1149.24,7063.14,205.65,-103.16,165.83
300,96,520,507,237,183,9.70,-64.34,14558.65,1150.38,7036.38,201.12,-123.80,164.74
310,95,520,507,236,183,9.81,-64.55,14566.92,1156.86,7009.36,193.61,-148.46,160.35
320,96,520,507,237,183,9.95,-64.69,14577.57,1163.02,6975.10,190.28,-145.94,164.33
330,96,520,507,237,183,10.06,-64.83,14580.69,1165.06,6937.14,191.62,-142.09,169.32
340,96,520,507,236,183,10.09,-64.94,14586.26,1165.21,6908.48,186.49,-137.49,176.00
350,95,520,507,236,183,9.89,-64.96,14591.54,1144.75,6892.26,185.81,-132.21,183.30
360,96,520,507,237,182,9.76,-64.96,14601.57,1133.71,6885.45,180.87,-118.25,189.03
370,96,520,507,236,184,9.52,-64.93,14603.89,1118.23,6881.37,160.43,-106.64,191.83
380,96,520,507,236,183,9.27,-65.00,14606.09,1098.72,6872.70,147.11,-114.26,183.69
390,96,520,507,236,183,9.38,-65.09,14624.39,1105.58,6854.67,140.50,-110.74,175.11
400,96,520,507,237,183,9.47,-65.13,14638.37,1113.70,6835.94,113.83,-97.31,175.25
410,96,520,507,236,183,9.45,-65.15,14641.25,1114.22,6813.14,95.89,-73.24,178.49
420,96,520,507,236,183,9.40,-65.12,14648.19,1106.51,6803.28,100.89,-49.68,179.61
430,96,520,506,236,183,9.36,-65.07,14655.38,1105.38,6802.92,85.60,-32.50,177.98
440,96,520,507,236,183,9.11,-65.01,14655.41,1090.31,6810.17,63.07,-25.22,180.48
450,95,520,507,236,183,9.04,-64.99,14656.04,1076.80,6818.46,73.96,-27.21,179.41
460,96,520,507,236,184,9.07,-64.94,14663.84,1074.76,6825.14,70.37,-26.10,177.99
470,96,520,507,236,183,8.96,-64.93,14668.04,1075.22,6828.28,54.00,-18.49,184.44
480,97,520,507,236,183,8.98,-64.94,14670.24,1069.46,6824.67,70.00,-25.82,185.47
490,96,520,507,236,183,9.09,-65.00,14681.73,1076.78,6819.63,74.60,-33.63,185.14
500,96,520,507,236,183,9.08,-65.07,14682.44,1069.94,6809.25,83.02,-45.45,189.14
510,95,520,507,235,182,9.14,-65.16,14695.92,1071.05,6798.19,89.87,-52.52,194.13
520,97,520,507,236,182,9.04,-65.24,14702.92,1057.30,6785.08,93.92,-56.15,199.07
530,97,520,507,235,182,9.02,-65.32,14712.58,1054.63,6770.83,92.93,-54.59,198.57
540,96,520,507,235,182,8.92,-65.40,14714.15,1038.30,6747.08,110.13,-47.06,200.84
550,96,521,507,235,181,8.97,-65.47,14709.04,1038.18,6735.53,120.77,-58.66,195.45
560,96,520,506,235,181,8.93,-65.50,14721.39,1043.67,6724.75,95.64,-52.83,198.53
570,96,520,507,234,181,8.47,-65.55,14729.12,1007.69,6713.32,79.85,-45.53,194.40
580,96,520,506,234,181,8.32,-65.57,14733.06,993.91,6704.05,65.26,-34.11,175.38
590,96,520,506,234,181,8.17,-65.60,14741.41,983.21,6685.65,43.25,-21.00,154.06
600,97,520,506,234,181,8.05,-65.56,14745.54,978.65,6697.16,28.29,-16.95,129.81
610,96,520,506,234,180,8.08,-65.49,14750.26,981.52,6704.71,18.17,-9.80,111.47
620,97,520,506,234,180,8.04,-65.39,14739.15,986.24,6716.27,-6.09,-6.76,101.59
630,97,520,506,234,180,7.97,-65.39,14739.19,988.53,6720.06,-22.98,-17.58,93.37
640,97,520,506,234,180,8.05,-65.42,14739.43,995.70,6716.05,-28.93,-27.25,83.90
650,96,520,506,234,180,8.06,-65.41,14740.26,999.12,6713.05,-40.64,-28.18,77.75
660,96,520,506,234,181,8.09,-65.41,14743.65,997.16,6703.80,-35.21,-15.08,69.41
670,96,520,506,233,180,8.28,-65.43,14737.06,1005.10,6686.81,-22.29,-4.27,60.29
680,97,520,506,234,180,8.35,-65.46,14739.21,1010.65,6678.27,-36.93,0.99,58.03
690,96,520,506,235,180,8.25,-65.39,14740.65,996.52,6686.15,-32.98,19.84,60.33
700,97,520,506,234,180,8.28,-65.27,14748.82,994.29,6696.25,-13.83,46.40,56.46
710,96,520,506,234,180,8.29,-65.19,14746.17,997.38,6706.83,-18.54,54.98,53.09
720,96,520,506,234,181,8.25,-65.18,14749.87,994.11,6715.89,-18.12,50.53,51.08
730,96,520,506,234,181,8.31,-65.15,14754.37,996.80,6716.30,-13.46,56.10,48.18
740,97,520,506,234,180,8.40,-65.11,14757.65,1000.56,6709.08,-10.14,71.25,50.87
750,96,520,506,234,180,8.25,-65.13,14758.57,983.33,6692.63,3.92,79.84,52.78
760,96,520,506,234,180,8.27,-65.08,14761.24,979.77,6704.20,27.32,83.19,49.04
770,96,520,506,233,179,8.13,-65.06,14758.98,969.98,6717.39,27.21,79.74,47.44
780,96,520,506,233,180,8.03,-65.03,14768.43,962.28,6724.32,26.35,78.00,45.26
790,96,520,505,233,179,8.09,-65.06,14764.61,962.37,6722.50,40.13,71.15,42.55
800,97,520,506,233,180,8.15,-65.09,14760.58,964.65,6718.98,38.92,63.99,44.02
810,96,520,505,233,179,8.11,-65.14,14756.55,961.41,6716.83,37.53,50.64,43.12
820,97,520,506,232,179,8.27,-65.18,14755.72,971.34,6712.99,44.10,42.71,41.52
830,96,520,505,232,179,8.40,-65.20,14755.14,975.58,6699.34,50.05,45.57,42.94
840,96,520,505,232,179,8.50,-65.22,14750.78,976.80,6693.57,58.64,42.10,46.64
850,96,520,505,232,179,8.54,-65.27,14752.84,980.16,6685.89,64.71,40.79,52.71
860,96,520,505,232,178,8.59,-65.26,14753.60,981.75,6684.00,68.68,49.75,61.63
870,96,520,505,232,179,8.51,-65.29,14753.32,973.46,6677.20,73.84,52.01,66.44
880,96,520,505,232,178,8.53,-65.31,14752.85,970.79,6678.34,88.40,45.06,61.07
890,97,520,505,232,178,8.60,-65.38,14756.21,978.25,6670.82,89.83,40.26,56.72
900,97,520,505,232,178,8.69,-65.43,14759.00,986.94,6657.48,77.64,40.60,58.73
910,96,520,504,232,179,8.67,-65.39,14744.45,990.79,6655.81,91.11,45.22,63.90
920,96,520,503,232,178,8.92,-65.39,14745.43,1006.05,6636.22,94.60,62.76,67.00
930,96,520,503,232,179,8.88,-65.40,14739.75,1003.55,6621.00,85.47,79.32,77.70
940,97,520,503,232,178,8.77,-65.45,14750.97,993.57,6602.95,80.50,95.05,85.97
950,96,520,503,231,178,8.40,-65.45,14763.02,969.69,6591.01,76.47,121.30,88.02
960,96,520,503,231,178,8.07,-65.32,14771.27,947.41,6603.86,61.80,157.03,85.67
970,97,520,503,231,178,7.76,-65.14,14775.10,920.24,6629.26,56.31,180.98,72.33
980,96,520,503,231,178,7.57,-65.00,14776.15,910.83,6664.40,58.19,181.78,45.62
990,96,520,503,231,178,7.57,-64.82,14776.14,914.88,6707.98,50.78,175.59,20.29
1000,97,520,503,231,178,7.70,-64.73,14766.13,931.54,6738.38,41.39,153.96,-1.78
1010,96,519,503,231,178,7.94,-64.76,14754.63,955.36,6747.26,32.38,125.07,-16.89
1020,96,520,503,232,178,8.25,-64.80,14751.49,979.99,6750.30,35.81,102.31,-22.99
1030,96,520,503,231,178,8.51,-64.88,14750.72,1002.20,6749.38,42.67,79.60,-18.80
1040,97,520,503,231,178,8.69,-64.92,14747.78,1013.89,6742.71,46.08,64.97,-4.96
1050,97,520,503,231,178,8.67,-65.01,14742.59,1012.19,6735.98,42.63,38.32,5.74
1060,97,520,503,231,178,8.53,-65.13,14742.86,995.78,6724.78,56.10,23.70,16.26
1070,96,520,503,231,178,8.52,-65.19,14745.32,988.99,6716.74,66.24,23.42,20.44
1080,96,520,503,232,178,8.52,-65.24,14743.45,987.14,6704.30,67.53,28.05,22.32
1090,96,520,503,231,178,8.50,-65.31,14737.48,979.99,6689.29,75.00,30.84,20.45
1100,96,520,503,231,178,8.72,-65.44,14737.41,989.19,6664.02,84.00,29.45,14.33
1110,97,520,503,231,178,8.72,-65.47,14743.34,987.33,6650.42,86.00,39.83,14.07
1120,97,520,503,231,178,8.82,-65.49,14747.17,990.76,6635.50,91.90,59.64,16.11
1130,97,520,503,231,178,8.82,-65.42,14744.21,990.62,6643.13,89.81,73.61,18.46
1140,97,520,503,231,178,8.77,-65.37,14743.20,988.89,6646.77,84.67,82.43,19.68
1150,95,520,502,231,178,8.62,-65.35,14745.64,982.45,6648.03,86.03,77.90,17.25
1160,97,520,503,231,178,8.64,-65.38,14754.16,988.72,6646.03,74.03,69.51,13.64
