timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,181,504,497,224,180,57.09,-23.57,6414.99,12256.00,7900.48,-244.55,260.66,-68.97
10,181,505,497,224,180,57.12,-23.51,6413.24,12262.00,7893.45,-234.07,262.08,-71.07
20,181,505,497,224,179,57.12,-23.42,6398.98,12249.90,7903.98,-209.51,266.18,-63.56
30,180,504,497,224,180,57.19,-23.33,6387.23,12244.81,7905.98,-170.99,265.87,-55.59
40,181,504,497,224,179,57.29,-23.28,6381.87,12251.16,7899.08,-146.14,266.97,-50.21
50,181,504,498,224,179,57.37,-23.23,6377.97,12262.41,7888.13,-136.18,267.23,-49.20
60,180,504,497,224,179,57.42,-23.15,6365.88,12269.09,7882.92,-121.17,273.16,-43.69
70,181,504,497,224,179,57.50,-23.13,6360.78,12260.83,7869.97,-102.31,275.16,-38.50
80,181,504,497,224,178,57.44,-23.13,6357.34,12248.59,7876.88,-88.25,275.50,-36.38
90,181,504,497,224,180,57.41,-23.15,6358.68,12255.96,7881.03,-86.79,265.87,-39.41
100,181,505,497,223,179,57.31,-23.13,6356.54,12257.76,7887.18,-98.40,257.18,-43.29
110,181,504,497,224,179,57.29,-23.11,6349.51,12256.27,7887.22,-96.73,249.47,-45.47
120,181,505,497,224,179,57.36,-23.11,6344.44,12265.86,7883.26,-85.04,236.15,-44.50
130,181,504,497,223,180,57.38,-23.10,6340.82,12265.37,7879.50,-79.09,229.94,-42.37
140,181,504,497,223,179,57.35,-23.11,6338.18,12260.90,7885.12,-75.28,223.94,-41.86
150,181,505,497,223,179,57.32,-23.13,6339.07,12258.65,7879.27,-84.77,218.40,-42.41
160,181,504,497,223,179,57.22,-23.09,6331.31,12256.52,7893.70,-93.33,211.98,-47.14
170,181,504,497,223,179,57.20,-23.04,6323.35,12260.29,7905.22,-89.57,209.08,-47.69
180,181,505,497,223,180,57.23,-23.00,6314.98,12262.08,7911.96,-72.59,204.57,-43.95
190,182,505,497,223,179,57.29,-22.95,6308.83,12273.37,7905.96,-62.66,202.54,-41.25
200,181,504,497,223,179,57.35,-23.02,6313.19,12265.91,7890.26,-56.72,196.22,-37.19
210,181,505,497,223,180,57.43,-23.06,6317.33,12261.21,7877.35,-53.04,195.01,-34.58
220,182,504,497,223,180,57.40,-23.04,6315.26,12265.35,7875.68,-60.64,193.96,-34.85
230,180,505,497,223,180,57.33,-23.04,6307.70,12263.28,7882.70,-66.30,184.66,-36.51
240,181,504,496,223,179,57.31,-23.03,6300.31,12252.52,7887.76,-50.54,178.13,-34.98
250,181,505,497,223,179,57.37,-22.98,6294.10,12262.69,7886.17,-29.66,184.67,-27.34
260,181,505,497,223,179,57.36,-22.93,6290.39,12274.36,7885.66,-36.43,186.74,-17.97
270,182,505,497,222,180,57.35,-22.96,6293.07,12257.84,7892.78,-27.36,187.75,-4.07
280,181,504,497,223,180,57.39,-22.97,6294.02,12256.55,7890.34,-12.74,183.61,4.88
290,182,505,497,223,179,57.34,-22.99,6295.32,12256.52,7893.22,-18.35,173.93,10.39
300,181,505,497,223,179,57.31,-23.04,6288.95,12247.89,7892.36,-22.24,162.78,13.67
310,181,505,496,223,179,57.30,-23.07,6288.70,12244.30,7889.95,-10.02,152.44,16.24
320,181,505,497,223,180,57.38,-23.07,6285.47,12248.48,7883.65,3.08,145.87,22.27
330,181,505,496,222,179,57.37,-23.10,6286.40,12246.06,7880.27,-3.08,143.53,26.26
340,181,505,497,223,180,57.37,-23.09,6285.48,12241.36,7877.45,0.63,143.80,31.95
350,181,505,497,223,179,57.43,-23.09,6286.00,12253.49,7865.78,-2.15,148.81,37.00
360,181,504,497,223,179,57.49,-23.06,6284.10,12256.41,7859.29,-7.55,156.97,45.90
370,181,505,497,223,180,57.48,-23.02,6285.70,12251.59,7854.93,-10.72,172.02,58.66
380,180,505,497,223,180,57.43,-23.04,6291.81,12250.81,7854.18,-15.58,176.22,63.67
390,181,505,497,223,179,57.40,-23.07,6301.22,12247.27,7847.87,-35.60,177.06,62.74
400,180,505,497,223,180,57.32,-23.04,6308.76,12248.31,7855.68,-42.87,185.26,64.50
410,181,505,497,223,180,57.36,-22.93,6301.92,12264.89,7860.49,-37.63,197.75,63.38
420,181,505,497,223,179,57.27,-22.86,6304.43,12266.45,7872.87,-44.60,214.06,62.26
430,181,505,497,223,180,57.26,-22.91,6310.20,12260.92,7857.62,-53.77,222.65,61.45
440,181,505,497,223,179,57.27,-22.93,6314.89,12262.08,7852.94,-58.98,228.67,56.72
450,181,505,496,223,179,57.26,-22.91,6312.95,12263.17,7858.70,-55.33,229.04,55.14
460,181,505,496,223,179,57.25,-22.86,6305.10,12260.22,7864.76,-45.11,226.34,57.68
470,181,505,497,223,180,57.29,-22.88,6304.45,12262.80,7863.52,-37.71,218.42,61.15
480,181,504,496,222,179,57.25,-22.91,6303.82,12265.86,7867.55,-47.87,208.80,57.24
490,181,504,497,223,180,57.28,-22.87,6296.63,12270.17,7857.77,-55.08,203.56,56.18
500,181,504,496,223,180,57.27,-22.85,6286.40,12287.66,7848.88,-76.03,190.43,52.77
510,181,505,496,222,179,57.19,-22.95,6295.88,12278.08,7838.44,-101.87,174.36,52.43
520,181,505,496,222,180,57.08,-23.05,6300.49,12264.58,7852.51,-102.73,160.44,54.11
530,181,505,497,223,179,57.02,-23.11,6296.06,12261.55,7861.09,-101.04,142.37,55.70
540,181,505,497,223,179,56.89,-23.12,6290.46,12247.07,7870.63,-116.14,132.65,47.17
550,182,505,497,222,179,56.72,-23.10,6284.34,12237.92,7893.10,-133.33,124.57,36.56
560,181,505,497,222,179,56.67,-23.06,6275.72,12243.62,7901.25,-145.62,117.44,27.03
570,181,505,497,223,179,56.65,-23.04,6267.93,12244.64,7894.98,-156.39,110.77,18.48
580,181,505,497,223,179,56.67,-23.04,6262.74,12223.81,7885.63,-147.87,113.88,21.41
590,181,505,497,222,179,56.49,-23.05,6271.20,12195.42,7899.95,-154.27,129.44,19.14
600,181,505,497,223,179,56.32,-23.04,6266.44,12177.25,7923.75,-164.51,133.46,12.43
610,181,505,497,223,180,56.23,-23.00,6261.92,12178.58,7939.77,-167.09,128.44,7.16
620,181,505,497,223,180,56.24,-22.97,6265.62,12185.05,7955.18,-158.28,131.17,9.50
630,181,505,497,223,179,56.28,-22.93,6261.74,12183.40,7961.62,-142.22,136.16,14.27
640,181,505,497,223,179,56.33,-22.92,6256.45,12178.03,7959.94,-131.01,137.60,7.71
650,181,505,497,223,179,56.34,-22.95,6260.83,12176.13,7967.74,-121.71,137.37,-2.57
660,181,505,497,223,178,56.32,-22.97,6263.59,12178.12,7981.95,-124.32,130.90,-13.90
670,181,505,497,223,179,56.34,-23.03,6260.81,12172.82,7977.06,-116.50,121.06,-20.40
680,181,505,497,223,179,56.34,-23.02,6261.37,12168.18,7974.80,-106.58,120.36,-28.83
690,182,505,497,224,179,56.39,-22.98,6252.30,12174.77,7972.46,-103.95,116.54,-36.44
700,182,505,497,224,179,56.45,-22.93,6249.88,12182.43,7963.44,-108.30,117.01,-42.62
710,182,505,497,224,180,56.44,-22.88,6245.79,12181.31,7960.27,-106.39,126.01,-47.44
720,181,505,498,224,179,56.47,-22.88,6243.50,12180.44,7963.25,-96.82,123.86,-50.97
730,181,505,498,223,180,56.50,-22.83,6233.13,12180.82,7962.69,-86.58,122.87,-48.07
740,181,505,498,224,180,56.53,-22.79,6227.87,12184.18,7967.76,-77.35,125.17,-46.76
750,181,505,498,224,180,56.55,-22.75,6222.08,12188.97,7966.37,-81.43,130.56,-52.13
760,182,505,498,224,180,56.55,-22.74,6220.57,12187.92,7970.45,-85.46,130.04,-59.52
770,181,505,498,224,180,56.58,-22.77,6224.54,12192.33,7960.53,-85.79,121.18,-64.39
780,181,505,498,224,179,56.66,-22.78,6224.52,12206.91,7952.50,-87.35,114.63,-65.77
