timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,154,452,347,152,105,-75.13,-37.42,9723.01,-12383.26,3299.82,-264.46,-356.91,62.11
10,154,452,347,152,105,-75.40,-37.56,9749.26,-12397.50,3274.43,-295.09,-375.27,51.06
20,154,453,348,152,104,-75.78,-37.69,9810.99,-12432.82,3239.91,-314.13,-359.21,45.30
30,154,452,348,152,105,-76.09,-37.76,9878.24,-12479.18,3202.71,-314.53,-328.64,37.69
40,154,453,347,152,106,-76.35,-37.63,9920.53,-12521.62,3160.58,-299.55,-264.21,35.70
50,154,453,348,152,105,-76.54,-37.30,9923.70,-12556.34,3143.95,-299.27,-183.20,14.92
60,155,453,348,152,106,-76.56,-36.91,9894.12,-12591.92,3150.55,-304.41,-123.99,-9.38
70,154,453,348,152,106,-76.12,-36.55,9852.81,-12609.53,3194.82,-245.84,-77.39,2.59
80,154,453,348,152,106,-75.64,-36.36,9806.97,-12598.45,3245.48,-198.10,-56.47,16.36
90,154,453,348,152,106,-75.57,-36.27,9787.02,-12607.13,3273.01,-211.64,-50.90,3.54
100,154,453,348,153,106,-75.51,-36.20,9785.07,-12640.77,3276.96,-178.01,-44.10,4.97
110,154,453,348,153,105,-75.36,-36.24,9790.22,-12646.33,3273.51,-118.56,-38.40,13.12
120,154,454,349,153,106,-75.24,-36.42,9806.51,-12640.82,3283.43,-90.83,-37.98,2.66
130,154,454,348,153,106,-75.24,-36.56,9835.58,-12641.57,3271.66,-63.44,-32.68,-9.72
140,154,453,349,153,105,-75.22,-36.57,9858.60,-12648.70,3261.68,-28.27,-4.55,-16.68
150,154,453,349,153,106,-75.04,-36.54,9871.07,-12637.46,3258.99,29.30,37.13,-12.90
160,154,453,349,153,107,-74.99,-36.63,9885.52,-12612.99,3251.04,49.28,52.92,-43.51
170,153,453,349,153,106,-75.00,-36.55,9889.84,-12606.34,3260.69,24.42,86.53,-84.88
180,154,454,349,153,107,-74.76,-36.41,9874.55,-12603.22,3283.46,62.10,115.20,-93.24
190,154,454,349,153,107,-74.59,-36.55,9875.02,-12567.06,3284.29,102.09,117.29,-99.32
200,154,453,349,153,107,-74.62,-36.71,9892.87,-12538.91,3284.67,86.39,117.98,-129.81
210,154,454,349,153,107,-74.71,-36.87,9914.03,-12519.36,3278.44,67.57,123.98,-162.82
220,154,454,349,154,107,-74.72,-36.89,9930.33,-12502.19,3290.92,45.34,150.58,-172.18
230,154,454,349,153,107,-74.62,-36.94,9944.81,-12501.08,3302.97,60.92,154.90,-159.82
240,155,454,349,154,107,-74.64,-37.00,9954.77,-12498.03,3306.62,57.03,156.36,-145.83
250,154,454,349,154,107,-74.88,-36.90,9959.43,-12517.73,3285.29,27.13,177.69,-157.19
260,154,454,350,154,108,-75.05,-36.81,9978.46,-12534.64,3276.23,16.27,214.75,-162.88
270,155,455,351,155,109,-74.94,-36.76,9986.94,-12551.11,3292.81,39.11,227.82,-151.28
280,154,455,351,155,110,-74.75,-36.57,9981.39,-12534.95,3305.37,67.20,288.42,-137.62
290,151,455,352,155,110,-74.81,-36.42,9973.12,-12531.80,3322.90,37.49,325.35,-154.14
300,151,456,352,155,111,-74.56,-36.38,9960.47,-12531.61,3360.96,40.97,323.34,-153.73
310,150,456,353,156,110,-74.20,-36.52,9950.04,-12516.03,3397.91,64.12,282.67,-135.29
320,150,456,353,155,111,-73.95,-36.69,9940.54,-12480.63,3426.62,77.11,251.34,-115.08
330,150,456,352,155,111,-73.97,-36.82,9943.91,-12467.40,3425.88,62.86,226.82,-104.48
340,150,456,353,155,111,-74.01,-36.97,9959.32,-12463.63,3425.59,50.86,209.43,-88.55
350,150,456,352,156,111,-73.95,-37.09,9973.35,-12459.05,3436.71,65.17,197.01,-57.27
360,150,456,353,156,111,-73.86,-37.15,9983.08,-12463.29,3456.28,67.31,181.71,-37.11
370,151,456,353,156,111,-73.82,-37.19,9994.33,-12468.93,3475.66,62.20,169.57,-27.35
380,151,456,353,156,111,-73.75,-37.18,9997.41,-12466.88,3491.08,68.89,172.39,-6.19
390,151,456,353,156,112,-73.68,-37.21,9996.34,-12467.74,3506.32,72.54,161.32,4.92
400,151,456,353,156,111,-73.67,-37.22,9998.32,-12468.95,3515.01,66.26,155.46,10.28
410,151,457,353,156,111,-73.70,-37.23,10002.61,-12481.30,3524.06,60.90,149.43,15.36
420,151,456,354,156,111,-73.73,-37.23,10007.88,-12486.24,3521.45,61.96,155.11,18.49
430,151,456,354,156,110,-73.71,-37.23,10015.68,-12481.73,3529.78,58.36,166.56,17.57
440,151,456,353,156,111,-73.64,-37.20,10018.70,-12472.24,3546.29,51.59,180.43,14.34
450,151,456,353,156,112,-73.59,-37.12,10014.36,-12467.23,3561.18,45.76,199.76,23.42
460,151,456,353,156,112,-73.51,-37.06,10007.05,-12464.86,3581.52,41.27,206.02,30.35
470,151,456,353,156,112,-73.41,-36.97,9992.69,-12472.62,3605.64,39.66,206.27,34.09
480,151,456,353,157,111,-73.44,-36.92,9981.66,-12471.39,3607.76,32.08,208.65,31.88
490,151,456,353,155,111,-73.45,-36.85,9968.17,-12477.42,3614.57,31.72,207.07,33.39
500,150,457,354,156,111,-73.45,-36.83,9951.77,-12477.75,3624.44,29.89,202.17,34.82
510,152,456,354,155,112,-73.49,-36.83,9945.78,-12478.06,3629.82,17.39,195.86,26.33
520,151,456,354,156,111,-73.52,-36.65,9929.89,-12509.76,3638.93,18.47,209.52,21.41
530,150,457,354,156,111,-73.43,-36.53,9924.59,-12525.07,3650.18,37.45,228.94,20.74
540,151,456,353,157,111,-73.27,-36.55,9934.56,-12537.02,3673.47,56.73,223.39,7.30
550,152,457,354,156,112,-73.32,-36.60,9951.04,-12533.77,3662.20,54.59,229.77,-26.96
560,152,457,353,156,110,-73.26,-36.65,9958.28,-12521.88,3666.29,63.66,240.84,-31.66
570,152,457,354,156,112,-73.02,-36.88,9959.77,-12467.98,3682.38,88.03,221.09,-21.53
580,152,457,354,156,112,-72.92,-37.16,9957.18,-12420.78,3705.26,56.48,180.34,-32.40
590,152,457,354,157,112,-73.11,-37.31,9966.32,-12406.54,3716.79,-7.30,148.52,-61.43
600,152,457,354,157,112,-73.25,-37.33,9983.81,-12415.22,3719.75,-33.98,153.95,-63.81
610,152,457,354,157,113,-73.45,-37.37,10006.82,-12400.86,3700.97,-51.88,179.05,-51.02
620,153,457,354,156,113,-73.64,-37.22,10011.48,-12422.41,3688.12,-71.59,210.05,-23.82
630,153,457,354,157,112,-73.71,-37.09,10000.90,-12434.09,3686.11,-82.81,219.14,-8.13
640,153,457,355,157,112,-73.82,-36.88,9975.66,-12464.39,3681.21,-107.37,223.54,-6.22
650,153,457,355,157,112,-73.74,-36.65,9949.27,-12494.17,3682.55,-70.50,236.91,17.24
660,153,457,354,157,113,-73.56,-36.60,9937.01,-12498.86,3702.62,-50.68,229.76,30.88
670,153,458,354,157,112,-73.44,-36.63,9927.76,-12478.92,3721.89,-58.99,224.43,27.38
680,153,458,354,157,112,-73.39,-36.74,9925.77,-12472.77,3730.59,-59.34,198.21,28.16
690,153,458,354,157,113,-73.44,-36.88,9942.48,-12463.53,3721.06,-60.68,186.34,37.55
700,153,457,355,157,113,-73.49,-36.95,9962.16,-12472.15,3710.01,-55.69,181.98,38.98
710,153,457,354,158,114,-73.48,-36.95,9973.65,-12484.55,3712.11,-47.01,184.48,37.53
720,153,457,355,157,113,-73.31,-36.86,9959.37,-12494.72,3737.50,-31.16,181.10,39.05
730,153,457,355,157,113,-73.30,-36.92,9960.20,-12483.18,3741.23,-30.30,174.45,21.60
740,153,457,355,157,113,-73.34,-36.99,9970.79,-12472.22,3735.57,-29.73,176.13,14.97
750,154,458,355,157,113,-73.38,-37.00,9983.45,-12468.21,3723.59,-31.75,188.82,12.72
760,154,458,354,157,113,-73.24,-36.91,9970.88,-12477.00,3737.41,-15.56,193.38,23.43
770,154,458,355,157,113,-73.20,-36.88,9962.93,-12464.75,3751.94,-16.98,193.66,17.56
780,154,458,354,157,113,-73.23,-36.83,9954.38,-12466.31,3748.74,-28.53,197.43,13.13
790,154,458,355,157,113,-73.09,-36.77,9932.46,-12463.20,3758.10,-15.51,197.41,21.13
800,154,458,355,157,113,-73.06,-36.78,9924.04,-12459.44,3761.00,-21.48,190.54,13.22
810,154,458,354,158,112,-73.10,-36.80,9911.24,-12453.67,3770.75,-40.01,185.76,8.41
