timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,78,260,272,126,98,-0.85,3.66,-891.67,-69.12,15291.16,-1254.98,576.87,283.34
10,78,259,273,126,99,-1.10,3.80,-898.89,-103.66,15272.20,-1243.73,610.98,319.18
20,77,260,275,126,98,-1.34,4.04,-925.14,-159.28,15288.59,-1188.34,622.93,329.62
30,78,260,275,125,98,-1.53,4.12,-953.49,-188.91,15329.16,-1155.33,588.83,314.89
40,76,260,277,126,97,-2.09,4.05,-956.41,-240.67,15324.50,-1193.66,551.24,289.39
50,76,259,278,126,96,-2.47,4.15,-969.79,-288.64,15328.48,-1192.33,542.33,271.37
60,76,260,281,126,97,-2.71,4.23,-994.30,-332.00,15336.05,-1166.46,521.31,260.20
70,76,260,281,126,97,-3.03,4.20,-994.39,-390.60,15328.25,-1140.39,495.15,254.94
80,76,261,281,126,97,-3.21,4.20,-995.27,-440.87,15337.24,-1093.77,479.19,237.40
90,77,260,282,126,96,-3.38,4.25,-1005.50,-481.83,15355.57,-1063.28,469.33,223.08
100,77,260,283,126,97,-3.65,4.35,-1019.23,-524.74,15354.59,-1059.57,466.66,215.27
110,76,261,284,126,96,-3.87,4.46,-1029.67,-583.70,15359.87,-1017.79,469.53,209.91
120,78,261,284,125,97,-3.82,4.55,-1045.58,-602.52,15387.87,-967.35,466.75,193.91
130,77,262,286,124,97,-3.96,4.56,-1055.10,-611.99,15417.68,-966.03,446.52,186.92
140,77,262,286,124,97,-4.15,4.56,-1065.75,-640.99,15425.20,-959.93,427.49,182.97
150,77,262,287,124,97,-4.35,4.54,-1068.86,-679.34,15444.74,-951.33,410.37,174.32
160,77,261,287,124,97,-4.52,4.57,-1085.22,-720.17,15458.70,-922.12,398.90,162.91
170,78,262,288,124,97,-4.42,4.59,-1101.56,-739.57,15475.96,-858.46,372.30,153.81
180,76,262,289,124,97,-4.37,4.61,-1114.28,-734.19,15484.16,-845.44,354.64,148.72
190,77,262,289,120,97,-4.48,4.61,-1119.77,-754.28,15478.96,-839.32,332.41,153.19
200,77,262,290,123,97,-4.58,4.66,-1135.38,-780.76,15475.41,-815.45,315.33,153.98
210,78,262,289,123,98,-4.60,4.70,-1155.61,-799.93,15476.04,-776.98,292.92,154.58
220,77,263,291,124,97,-4.69,4.64,-1150.43,-810.73,15474.04,-770.73,271.87,156.40
230,78,263,291,124,98,-4.82,4.61,-1151.31,-858.19,15481.33,-737.39,251.28,153.58
240,78,263,291,124,97,-4.86,4.62,-1160.74,-882.48,15476.67,-708.12,232.41,151.30
250,78,263,290,123,97,-4.95,4.51,-1159.70,-907.76,15473.03,-692.77,199.44,146.13
260,77,263,291,124,98,-5.14,4.54,-1164.92,-944.57,15472.78,-690.93,193.97,142.98
270,78,263,292,125,97,-5.21,4.48,-1155.47,-963.54,15477.34,-677.93,186.12,140.13
280,78,264,291,125,97,-5.27,4.44,-1156.90,-984.17,15472.88,-661.18,167.52,141.02
290,78,264,292,126,97,-5.40,4.36,-1151.45,-1024.56,15458.03,-642.98,150.04,128.52
300,77,264,292,125,98,-5.38,4.28,-1138.68,-1031.73,15448.53,-626.18,139.24,120.80
310,78,264,293,126,98,-5.48,4.26,-1126.95,-1053.94,15436.50,-619.92,137.63,117.21
320,78,264,294,126,98,-5.51,4.26,-1128.20,-1081.45,15432.48,-587.87,135.25,114.20
330,78,264,293,126,98,-5.50,4.18,-1126.99,-1095.97,15434.26,-559.23,117.83,104.59
340,79,265,293,126,98,-5.62,4.11,-1116.24,-1123.77,15425.94,-551.82,107.59,98.81
350,79,265,294,126,97,-5.66,4.12,-1111.63,-1153.59,15428.45,-528.23,111.26,92.62
360,78,264,294,126,97,-5.62,4.13,-1113.05,-1158.31,15440.62,-512.51,105.35,90.54
370,78,266,294,127,98,-5.60,4.09,-1104.99,-1161.79,15440.79,-507.89,94.18,95.81
380,79,265,294,127,98,-5.69,4.04,-1096.94,-1180.10,15439.55,-507.34,90.87,101.67
390,78,265,294,127,98,-5.82,4.01,-1086.70,-1206.90,15426.97,-504.73,92.08,107.58
400,79,265,295,127,98,-5.92,3.97,-1078.76,-1236.95,15420.43,-494.09,93.02,102.86
410,78,266,294,127,97,-5.90,3.98,-1073.22,-1251.50,15422.20,-469.64,98.77,109.46
420,79,266,296,127,98,-5.85,3.97,-1081.56,-1277.73,15433.09,-420.25,83.84,111.89
430,78,266,295,127,98,-5.80,3.94,-1070.89,-1281.04,15428.24,-398.29,81.04,116.69
440,78,265,295,127,98,-5.80,3.93,-1074.54,-1290.99,15441.23,-385.98,79.84,118.61
450,79,266,295,125,97,-5.84,3.94,-1072.41,-1307.64,15446.37,-383.53,79.90,118.98
460,79,266,296,127,98,-5.86,3.90,-1067.99,-1328.26,15450.85,-359.25,73.50,119.98
470,79,266,295,127,98,-5.75,3.85,-1059.79,-1332.85,15447.70,-323.44,61.38,115.33
480,79,267,295,127,98,-5.66,3.85,-1059.40,-1329.60,15446.12,-300.82,56.81,113.42
490,79,267,296,127,98,-5.64,3.91,-1067.83,-1334.72,15453.01,-290.28,55.02,116.99
500,79,266,296,126,98,-5.84,3.90,-1063.84,-1369.39,15447.36,-293.96,53.92,117.54
510,79,266,295,126,97,-5.85,3.89,-1058.45,-1396.32,15450.99,-259.01,59.57,111.62
520,79,267,296,126,98,-5.77,3.87,-1051.73,-1392.10,15443.44,-240.36,58.39,101.84
530,80,267,296,126,98,-5.70,3.84,-1047.94,-1396.30,15450.47,-212.75,50.22,90.79
540,79,267,296,126,98,-5.75,3.82,-1047.14,-1397.48,15447.35,-215.66,40.16,78.60
550,80,267,296,126,98,-5.78,3.76,-1029.39,-1415.21,15426.38,-191.08,33.80,70.47
560,79,267,297,127,98,-5.72,3.79,-1029.52,-1407.05,15413.66,-180.27,45.86,67.65
570,79,268,297,126,98,-5.70,3.83,-1028.24,-1418.29,15417.78,-159.71,56.97,67.42
580,80,267,298,125,98,-5.60,3.86,-1039.43,-1420.38,15401.29,-131.82,53.97,56.50
590,80,268,298,125,98,-5.50,3.87,-1042.46,-1409.16,15380.83,-109.33,52.77,49.22
600,79,268,298,123,98,-5.45,3.91,-1049.13,-1401.30,15363.78,-96.46,62.04,48.06
610,80,268,298,128,98,-5.30,3.97,-1059.68,-1387.04,15336.59,-79.04,62.88,54.16
620,80,268,299,127,98,-5.39,3.97,-1055.09,-1387.09,15325.16,-98.29,70.59,63.30
630,80,268,298,127,98,-5.61,4.04,-1054.14,-1420.13,15334.91,-118.48,93.21,72.49
640,79,268,298,128,98,-5.78,4.04,-1048.63,-1455.72,15358.96,-121.05,107.85,77.46
650,80,268,299,127,98,-5.88,4.06,-1046.00,-1485.54,15365.41,-107.95,114.76,70.49
660,80,269,298,127,98,-5.96,4.03,-1039.30,-1524.86,15386.34,-76.25,121.97,53.51
670,80,269,300,128,98,-5.95,3.99,-1027.54,-1549.82,15395.43,-45.29,126.87,24.39
680,80,269,299,128,98,-5.80,3.97,-1022.16,-1554.73,15418.25,-0.22,134.83,-5.33
690,79,269,299,129,98,-5.58,4.00,-1034.45,-1532.39,15436.74,32.14,128.04,-30.31
700,80,269,300,129,98,-5.38,3.99,-1032.93,-1503.97,15437.10,46.48,123.38,-47.10
710,80,269,300,130,98,-5.29,4.04,-1038.28,-1491.97,15443.25,57.21,131.26,-55.64
720,80,270,300,130,97,-5.16,4.09,-1048.57,-1482.17,15460.09,77.60,134.25,-67.31
730,80,269,300,130,98,-5.06,4.11,-1056.34,-1465.67,15485.28,85.17,129.59,-84.30
740,80,269,299,129,98,-4.85,4.12,-1062.72,-1425.78,15495.22,89.01,113.56,-87.38
750,80,269,300,130,98,-4.73,4.13,-1062.79,-1404.89,15478.46,98.41,114.83,-79.21
760,80,270,300,130,98,-4.59,4.19,-1076.85,-1389.65,15485.93,120.94,111.09,-80.35
770,80,269,300,129,98,-4.39,4.11,-1065.00,-1353.17,15482.04,125.49,96.94,-85.63
780,81,270,300,130,99,-4.34,4.13,-1067.75,-1327.91,15472.94,109.62,90.84,-83.30
790,80,270,300,130,99,-4.33,4.15,-1071.97,-1310.51,15470.49,92.28,88.75,-76.19
800,80,270,301,130,98,-4.31,4.10,-1061.57,-1293.39,15470.16,80.17,90.31,-64.33
810,80,270,300,130,98,-4.32,4.14,-1072.69,-1293.52,15473.86,77.61,89.94,-45.56
820,80,270,300,130,98,-4.30,4.10,-1067.86,-1287.84,15481.56,86.73,84.20,-25.88
830,81,270,300,129,98,-4.32,4.06,-1057.06,-1269.25,15484.49,60.04,81.59,-8.64
840,81,270,301,130,98,-4.54,4.03,-1062.81,-1302.39,15495.26,46.04,69.76,8.39
850,81,270,300,130,99,-4.60,3.93,-1064.07,-1319.47,15491.90,56.94,38.57,9.82
860,80,270,300,131,100,-4.65,3.86,-1047.27,-1316.29,15479.50,41.79,33.24,9.38
870,81,271,300,130,98,-4.69,3.89,-1033.90,-1315.88,15479.73,32.80,50.63,8.86
880,81,271,300,130,99,-4.64,3.95,-1032.21,-1293.89,15471.74,14.56,70.90,4.97
890,81,271,301,130,99,-4.62,4.00,-1034.40,-1291.99,15475.15,15.39,75.25,7.97
900,81,271,301,130,99,-4.54,4.00,-1033.88,-1266.99,15480.60,2.42,77.99,21.42
910,81,271,301,130,98,-4.64,3.99,-1028.98,-1270.84,15470.37,-16.10,82.04,35.20
