timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,103,478,288,135,106,-32.35,-41.74,10724.70,-6432.01,10055.18,91.09,8.06,23.38
10,104,478,289,135,106,-32.10,-41.56,10674.27,-6400.81,10071.82,100.44,7.96,44.97
20,104,478,288,135,105,-31.78,-41.33,10606.15,-6372.17,10117.63,103.47,-17.64,59.02
30,104,478,289,135,106,-31.56,-41.44,10576.45,-6350.76,10149.75,105.14,-88.86,63.47
40,104,479,288,135,106,-31.49,-41.93,10612.62,-6331.62,10138.86,97.94,-164.51,52.14
50,103,478,288,135,106,-31.69,-42.63,10713.39,-6325.84,10085.12,79.99,-212.69,25.89
60,103,478,288,135,107,-31.87,-43.18,10833.32,-6309.15,10037.46,60.04,-214.25,8.64
70,104,479,289,135,107,-31.95,-43.48,10928.26,-6298.89,10003.99,47.34,-189.14,10.96
80,103,479,288,135,106,-31.96,-43.52,10975.24,-6280.95,9994.59,26.52,-143.78,1.56
90,104,479,288,135,106,-32.01,-43.38,10987.48,-6273.50,10007.46,-3.96,-98.84,-30.67
100,104,479,288,135,106,-32.08,-43.16,10978.31,-6272.63,10013.49,-28.96,-55.45,-55.33
110,103,479,289,135,106,-32.14,-42.90,10957.79,-6275.99,10015.81,-48.81,-14.58,-62.47
120,103,479,288,135,106,-32.21,-42.71,10937.50,-6272.19,10013.62,-70.57,21.25,-66.74
130,104,480,288,135,106,-32.32,-42.65,10928.03,-6255.38,9992.34,-108.69,54.49,-85.26
140,103,479,289,135,106,-32.52,-42.53,10914.83,-6256.02,9978.92,-156.91,80.36,-111.24
150,104,479,289,135,106,-32.78,-42.43,10900.49,-6269.21,9964.58,-192.86,98.49,-120.03
160,103,479,288,135,106,-32.91,-42.29,10888.46,-6274.75,9963.15,-225.92,117.92,-129.98
170,103,479,288,135,106,-33.03,-42.20,10872.44,-6285.42,9972.59,-255.57,116.92,-147.58
180,103,480,288,135,106,-33.26,-42.08,10862.62,-6312.74,9970.76,-282.99,129.03,-167.05
190,103,479,289,136,106,-33.40,-42.00,10850.09,-6334.91,9974.62,-297.54,132.03,-183.35
200,103,479,289,136,106,-33.65,-42.00,10858.58,-6357.16,9965.09,-325.02,133.78,-221.63
210,103,480,289,135,106,-33.77,-42.00,10858.25,-6383.70,9964.04,-322.07,127.49,-237.05
220,103,480,288,136,106,-33.76,-42.07,10865.94,-6399.52,9958.04,-302.96,120.31,-248.35
