timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,80,276,514,238,193,1.38,-77.10,15945.98,19.51,3759.88,-102.07,-191.92,-236.14
10,80,276,514,237,192,1.55,-77.13,15936.28,28.93,3732.88,-90.21,-168.02,-225.78
20,80,277,514,237,192,1.32,-76.90,15919.46,21.29,3750.64,-70.10,-131.52,-207.55
30,80,277,514,238,193,0.96,-76.65,15900.29,2.62,3787.91,-59.65,-115.00,-187.47
40,80,277,514,238,192,0.46,-76.56,15902.68,-18.91,3821.71,-56.11,-116.55,-166.29
50,80,277,514,237,193,0.20,-76.57,15901.54,-29.16,3829.83,-49.66,-126.67,-150.28
60,80,277,514,237,193,0.45,-76.62,15905.87,-19.11,3823.54,-45.63,-128.89,-132.02
70,80,277,514,238,193,0.56,-76.68,15899.77,-12.95,3808.56,-33.94,-131.44,-123.07
80,81,277,514,237,192,0.79,-76.70,15893.38,-0.90,3799.33,-25.70,-122.57,-112.16
90,80,277,514,238,192,0.40,-76.63,15895.91,-16.46,3803.76,-30.01,-104.34,-93.65
100,80,277,514,237,192,-0.06,-76.58,15895.12,-35.64,3802.58,-31.86,-87.02,-84.27
110,81,277,514,237,192,-0.11,-76.56,15904.16,-43.25,3798.05,-37.87,-69.82,-77.81
120,80,277,514,237,192,-0.51,-76.55,15908.95,-48.69,3787.14,-47.88,-45.73,-71.32
130,81,277,514,237,192,-0.54,-76.49,15920.71,-46.06,3776.99,-51.58,-2.89,-67.55
140,81,277,514,237,193,-0.28,-76.33,15912.27,-32.95,3784.94,-65.90,37.10,-65.47
150,81,278,514,237,192,-0.36,-76.15,15910.26,-34.71,3806.89,-74.61,63.95,-57.00
160,81,278,514,238,193,-0.36,-75.98,15905.14,-33.97,3835.75,-76.48,80.05,-52.15
170,81,278,514,237,192,-0.41,-75.90,15897.49,-31.27,3854.36,-88.90,86.70,-41.74
180,81,277,514,237,193,-0.58,-75.83,15898.01,-38.31,3877.84,-94.26,79.81,-35.16
190,80,278,514,237,193,-0.73,-75.79,15898.91,-41.99,3893.55,-85.70,71.52,-28.80
200,81,278,514,238,193,-0.68,-75.83,15896.97,-42.29,3901.87,-83.91,56.79,-23.36
210,81,278,514,237,192,-0.87,-75.90,15903.32,-50.78,3901.78,-86.86,42.40,-15.74
220,81,278,514,237,193,-1.19,-75.96,15902.15,-66.24,3901.29,-88.27,29.18,-14.35
230,81,277,514,237,192,-1.49,-76.05,15896.64,-78.73,3885.82,-96.61,24.33,-17.79
240,81,278,513,237,192,-1.44,-76.16,15900.61,-76.39,3866.33,-98.03,24.16,-23.85
250,80,278,514,238,193,-1.17,-76.20,15898.18,-64.57,3851.82,-98.83,35.30,-21.45
260,81,278,514,237,193,-1.11,-76.16,15892.67,-60.14,3854.63,-114.68,39.04,-11.48
270,81,278,514,237,193,-1.56,-76.13,15891.64,-78.54,3851.69,-132.00,42.78,-0.41
280,81,278,514,238,192,-1.78,-76.08,15896.26,-90.41,3861.11,-131.40,50.49,6.86
