timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,206,532,281,140,105,-25.62,-57.57,13617.30,-3674.12,7712.00,-443.82,278.59,-229.00
10,206,532,281,140,105,-25.79,-57.51,13605.83,-3693.81,7721.20,-456.58,276.91,-218.75
20,205,532,281,140,106,-26.02,-57.37,13606.74,-3718.32,7728.94,-453.05,283.77,-207.71
30,205,532,281,140,106,-26.12,-57.22,13607.00,-3733.40,7747.09,-442.45,292.68,-200.87
40,205,532,280,139,104,-26.23,-57.15,13600.85,-3742.73,7755.34,-445.82,288.50,-196.48
50,205,532,281,139,106,-26.37,-57.08,13602.21,-3753.60,7763.77,-455.68,288.67,-194.01
60,205,532,280,140,106,-26.42,-57.03,13603.10,-3766.72,7770.18,-431.85,286.24,-184.51
70,205,532,281,139,106,-26.38,-57.05,13599.14,-3770.18,7780.27,-409.66,270.98,-180.28
80,205,532,281,140,106,-26.50,-57.07,13602.79,-3781.47,7783.66,-410.52,253.53,-177.97
90,206,532,281,139,106,-26.68,-57.04,13604.45,-3801.80,7790.68,-396.25,249.70,-170.32
100,205,532,281,140,106,-26.72,-57.04,13602.42,-3813.91,7784.54,-375.73,242.87,-165.50
110,205,532,280,139,106,-26.72,-57.08,13599.50,-3808.81,7784.31,-374.35,233.52,-165.48
120,205,533,281,140,106,-26.89,-57.13,13607.73,-3825.17,7776.90,-368.33,222.45,-162.75
130,205,532,281,140,106,-26.84,-57.17,13615.14,-3820.91,7768.65,-351.16,224.87,-158.67
140,205,532,281,140,106,-26.75,-57.18,13624.58,-3817.87,7773.82,-332.26,222.23,-152.48
150,205,532,281,140,106,-26.75,-57.10,13626.95,-3826.97,7785.13,-310.19,223.02,-139.66
160,204,532,281,140,105,-26.65,-57.04,13624.81,-3827.03,7798.67,-291.78,219.97,-136.83
170,204,532,282,140,105,-26.68,-57.00,13627.97,-3834.07,7809.94,-291.19,214.87,-131.93
180,205,532,281,140,105,-26.70,-57.00,13630.37,-3845.17,7814.44,-272.68,211.23,-128.84
190,205,532,282,140,105,-26.64,-57.00,13632.25,-3839.91,7812.52,-258.80,210.56,-125.25
200,204,532,282,140,106,-26.64,-56.99,13631.64,-3848.52,7816.49,-239.86,202.19,-121.53
210,204,532,281,140,106,-26.68,-56.99,13630.46,-3853.29,7818.87,-223.87,202.73,-124.31
220,204,532,281,140,105,-26.67,-56.97,13631.93,-3855.23,7827.93,-208.77,197.39,-124.14
230,204,532,281,140,106,-26.64,-56.96,13629.34,-3866.06,7834.33,-191.94,186.37,-123.43
240,205,532,281,140,105,-26.55,-57.08,13621.87,-3854.56,7823.01,-177.59,162.20,-125.96
250,205,532,281,140,106,-26.58,-57.21,13624.78,-3847.23,7804.06,-181.91,141.84,-124.16
260,205,532,281,140,106,-26.43,-57.30,13624.94,-3834.47,7787.46,-159.11,139.20,-112.56
270,204,532,281,140,106,-26.32,-57.40,13618.29,-3811.55,7775.49,-159.91,133.04,-103.13
280,204,532,281,140,106,-26.37,-57.47,13618.97,-3809.97,7767.11,-163.26,118.84,-95.12
290,204,532,281,140,106,-26.37,-57.53,13627.23,-3804.67,7751.56,-165.20,120.70,-84.92
300,204,532,281,140,106,-26.46,-57.53,13634.06,-3810.64,7750.58,-172.44,119.81,-77.52
310,205,532,281,140,106,-26.60,-57.54,13641.36,-3824.31,7750.45,-168.47,118.07,-68.34
320,204,532,282,140,106,-26.64,-57.46,13646.49,-3841.29,7762.53,-154.44,118.32,-61.13
330,204,532,281,140,106,-26.70,-57.38,13646.37,-3851.43,7778.80,-155.02,111.35,-66.52
340,205,532,282,140,106,-26.75,-57.35,13655.05,-3864.05,7791.26,-154.92,105.73,-67.84
350,204,532,281,140,105,-26.68,-57.39,13655.50,-3870.25,7799.30,-137.97,92.35,-75.85
360,204,532,281,140,105,-26.56,-57.44,13652.52,-3859.14,7797.53,-134.58,77.48,-84.06
370,204,532,281,140,106,-26.51,-57.49,13654.70,-3847.98,7792.66,-138.55,71.26,-81.36
380,205,532,281,140,105,-26.49,-57.50,13655.16,-3863.98,7788.42,-115.52,66.89,-77.09
390,204,532,282,140,105,-26.29,-57.56,13649.00,-3849.98,7784.40,-89.69,56.10,-68.23
400,204,532,282,140,105,-26.37,-57.61,13652.15,-3850.68,7771.18,-100.56,57.44,-60.37
410,204,532,282,140,106,-26.44,-57.56,13652.74,-3865.35,7765.82,-80.23,63.42,-45.65
420,204,532,282,140,106,-26.24,-57.58,13648.31,-3853.88,7765.33,-48.92,62.40,-28.37
430,204,532,282,140,105,-26.29,-57.62,13657.89,-3852.39,7765.06,-57.47,55.83,-17.15
440,204,531,281,140,106,-26.35,-57.56,13667.40,-3868.77,7769.61,-39.90,56.04,0.15
450,204,531,282,140,105,-26.31,-57.63,13675.03,-3868.53,7765.53,-18.85,42.64,4.70
460,204,532,281,140,106,-26.42,-57.78,13688.48,-3869.70,7750.25,-19.31,23.05,6.36
470,204,532,281,140,106,-26.51,-57.84,13696.25,-3883.62,7745.74,-4.90,4.20,7.24
480,204,531,281,140,106,-26.50,-57.99,13708.04,-3876.04,7722.05,12.85,-3.01,4.63
490,204,532,282,140,106,-26.52,-58.09,13709.64,-3865.04,7700.95,9.31,-4.96,-3.55
500,204,531,282,140,106,-26.46,-58.15,13713.75,-3859.98,7688.90,14.14,-13.76,-14.52
510,204,531,281,140,106,-26.33,-58.20,13714.27,-3849.38,7686.66,27.93,-15.07,-11.80
520,204,531,282,139,106,-26.24,-58.23,13713.55,-3841.32,7685.12,35.14,-17.22,-5.56
530,203,531,282,140,106,-26.26,-58.26,13714.87,-3840.05,7677.47,40.33,-20.36,-5.13
540,204,531,282,140,106,-26.28,-58.23,13715.33,-3843.05,7676.80,47.01,-28.74,-6.22
550,204,531,282,140,106,-26.24,-58.22,13713.56,-3841.09,7683.36,56.61,-33.60,-9.41
560,204,531,282,140,105,-26.23,-58.22,13711.49,-3840.24,7687.39,56.33,-40.72,-13.59
570,204,531,281,140,106,-26.13,-58.23,13720.11,-3834.23,7692.42,67.07,-44.54,-9.51
580,204,531,282,140,105,-26.01,-58.25,13718.11,-3827.92,7694.80,83.11,-48.76,0.16
590,204,531,281,140,105,-25.94,-58.24,13713.20,-3818.92,7701.66,99.61,-50.17,13.81
600,204,531,282,140,106,-25.83,-58.35,13718.14,-3801.17,7690.77,101.78,-60.41,19.77
610,204,532,282,140,105,-25.98,-58.42,13731.23,-3804.32,7667.24,100.14,-58.89,35.13
620,203,532,282,140,106,-26.01,-58.36,13730.47,-3812.10,7657.87,127.58,-43.25,55.92
630,204,531,281,141,107,-25.93,-58.42,13717.35,-3795.29,7639.98,134.45,-42.99,68.53
640,203,532,282,140,106,-26.05,-58.47,13715.48,-3796.33,7618.78,123.58,-39.49,78.30
650,204,531,282,140,105,-25.97,-58.47,13720.11,-3791.11,7605.24,139.75,-15.81,97.83
660,203,531,282,140,105,-25.76,-58.47,13721.70,-3777.36,7615.58,155.66,-5.62,120.64
670,204,531,282,140,106,-25.74,-58.48,13738.21,-3772.49,7613.40,154.78,-2.59,142.41
680,203,531,282,140,105,-25.87,-58.48,13749.70,-3791.07,7608.73,164.54,-6.56,161.49
690,204,531,282,140,105,-25.98,-58.45,13762.42,-3806.91,7625.29,170.96,-12.98,167.67
700,203,531,282,141,105,-26.05,-58.54,13770.30,-3810.97,7620.83,167.62,-34.63,166.63
710,203,531,282,140,105,-26.18,-58.66,13780.98,-3818.02,7608.99,163.83,-54.05,163.90
720,204,531,282,140,106,-26.14,-58.79,13789.13,-3796.92,7584.94,165.69,-57.85,164.16
730,203,531,282,141,105,-26.11,-58.86,13798.88,-3781.47,7575.69,160.81,-55.01,171.40
740,204,531,282,140,106,-26.07,-58.87,13796.73,-3779.40,7569.11,171.82,-52.51,184.38
750,203,531,282,140,106,-26.08,-58.82,13793.50,-3785.23,7571.05,181.43,-52.53,193.16
