timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,211,519,295,145,107,-20.13,-77.24,15939.90,-1257.97,3299.81,-716.04,117.90,-588.20
10,212,519,295,144,107,-20.47,-77.28,15925.30,-1266.48,3313.02,-717.73,78.46,-573.09
20,212,519,294,145,108,-21.40,-77.39,15943.44,-1298.35,3295.36,-712.95,54.49,-570.78
30,213,519,295,145,108,-21.84,-77.52,15965.67,-1309.83,3285.00,-709.55,31.91,-570.85
40,213,519,294,145,107,-22.04,-77.65,15972.98,-1306.14,3261.15,-690.92,27.52,-545.40
50,213,519,295,145,108,-21.91,-77.64,15972.33,-1296.04,3238.09,-631.68,61.29,-498.23
60,213,519,296,144,108,-21.57,-77.64,15963.32,-1278.83,3221.58,-549.04,88.58,-438.27
70,213,520,295,144,108,-21.68,-77.59,15955.95,-1280.29,3220.31,-527.74,93.55,-419.91
80,213,520,296,145,108,-21.52,-77.75,15968.95,-1266.08,3199.89,-517.80,78.42,-411.91
90,213,520,295,145,108,-22.25,-77.88,15985.30,-1282.37,3168.70,-494.96,70.45,-388.92
100,214,521,296,144,108,-22.86,-77.94,16004.44,-1304.05,3142.06,-427.91,75.88,-348.77
110,213,520,296,145,107,-23.05,-77.94,16020.02,-1305.85,3124.96,-385.52,91.78,-328.63
120,214,521,296,145,108,-23.01,-77.89,16017.02,-1323.16,3147.31,-324.84,73.04,-302.05
130,214,520,295,145,108,-22.33,-78.03,16015.37,-1297.20,3135.74,-266.15,55.54,-265.30
140,213,521,296,144,108,-22.60,-78.10,16024.20,-1309.34,3121.36,-243.99,46.31,-241.88
150,213,520,296,146,107,-22.79,-78.21,16032.59,-1307.27,3102.89,-238.74,37.05,-236.04
160,214,521,297,145,108,-23.75,-78.26,16050.36,-1333.31,3082.14,-236.56,32.55,-222.24
170,214,521,297,145,108,-23.63,-78.30,16054.84,-1326.84,3062.64,-182.98,45.67,-199.08
180,214,520,297,145,108,-23.71,-78.34,16055.30,-1333.90,3047.11,-109.03,47.79,-174.37
190,214,521,297,146,108,-23.52,-78.49,16062.13,-1320.01,3007.95,-31.68,61.45,-155.90
200,213,521,298,145,108,-23.14,-78.50,16069.62,-1298.41,2985.15,-12.09,86.57,-135.51
210,213,521,297,146,108,-23.07,-78.36,16078.74,-1309.49,2987.50,36.61,112.35,-105.48
220,214,521,297,146,107,-23.04,-78.12,16068.61,-1330.41,3020.52,119.83,125.93,-54.31
230,213,521,297,146,109,-22.81,-78.12,16084.17,-1331.89,3011.29,233.34,137.58,-0.74
240,214,522,298,146,108,-22.97,-78.01,16094.17,-1352.10,3024.13,281.32,144.55,30.74
250,213,522,298,146,108,-23.01,-77.82,16134.66,-1359.09,3029.52,346.36,197.72,60.81
260,213,522,298,146,108,-22.66,-77.15,16100.33,-1397.14,3104.45,449.04,269.79,100.02
270,213,522,298,145,108,-21.47,-76.83,16067.31,-1380.88,3150.22,590.54,306.00,148.87
280,213,522,298,145,108,-20.95,-76.73,16067.54,-1377.44,3154.31,690.36,334.95,189.02
290,213,522,298,146,108,-20.31,-76.68,16063.77,-1366.16,3159.20,786.94,363.50,220.02
300,213,522,298,146,109,-19.82,-76.52,16050.78,-1362.46,3176.24,833.49,384.78,241.42
310,213,522,299,146,108,-19.16,-76.54,16041.64,-1332.93,3187.63,833.97,374.54,239.25
320,212,522,298,146,108,-19.35,-76.70,16038.36,-1322.69,3180.44,774.42,351.86,227.84
330,212,522,299,146,108,-20.14,-76.81,16049.64,-1341.35,3154.22,727.05,338.47,228.05
340,212,522,299,146,108,-20.84,-76.85,16050.76,-1358.89,3145.91,697.85,338.34,220.14
350,212,522,298,146,108,-21.14,-76.81,16053.62,-1365.74,3142.82,678.50,354.83,218.09
360,212,522,298,146,107,-20.91,-76.63,16046.74,-1364.45,3166.27,692.48,378.09,232.88
370,211,522,298,146,108,-20.80,-76.46,16034.60,-1372.63,3200.56,702.81,383.48,238.09
380,212,522,298,146,108,-20.70,-76.35,16023.47,-1372.20,3219.73,698.12,393.11,242.28
390,212,522,299,146,108,-20.90,-76.13,16001.70,-1389.99,3265.75,643.96,387.30,227.92
400,212,522,299,146,107,-21.29,-76.01,15992.41,-1415.89,3300.66,597.51,369.59,218.67
410,211,522,299,147,108,-21.64,-75.87,15986.99,-1437.70,3330.63,549.39,367.01,203.09
420,210,522,298,146,107,-21.55,-75.76,15978.24,-1432.41,3360.09,490.02,366.66,189.98
430,210,522,299,146,107,-22.23,-75.73,15972.53,-1465.19,3365.49,462.67,357.77,188.69
440,209,522,299,146,107,-22.62,-75.65,15966.10,-1488.13,3376.02,448.23,358.39,180.75
450,208,523,299,146,107,-22.83,-75.46,15960.40,-1519.12,3407.41,448.17,367.17,174.11
460,208,523,298,146,108,-22.93,-75.32,15951.98,-1542.57,3442.24,460.76,361.96,175.31
470,206,522,299,146,107,-22.94,-75.31,15944.38,-1548.64,3461.93,479.42,344.31,166.74
480,206,522,299,146,108,-23.27,-75.19,15947.56,-1583.41,3485.43,476.90,335.79,146.31
490,205,522,298,146,107,-23.04,-75.12,15931.98,-1597.64,3515.16,545.66,313.80,135.29
500,204,522,298,146,108,-22.45,-75.28,15944.38,-1584.96,3505.00,652.13,303.06,138.03
510,204,522,298,146,107,-21.85,-75.31,15946.76,-1556.31,3518.15,684.87,319.46,121.82
520,204,523,299,146,108,-21.79,-75.28,15949.42,-1565.29,3529.45,729.23,306.24,130.23
530,204,523,298,145,107,-21.58,-75.40,15953.75,-1561.43,3517.77,808.86,294.78,140.02
540,204,522,298,146,108,-21.10,-75.54,15951.46,-1540.56,3516.09,839.07,271.04,140.27
550,204,522,298,146,107,-21.14,-75.63,15966.89,-1544.33,3518.08,867.47,252.09,148.41
560,204,522,299,145,108,-20.75,-75.74,15971.35,-1520.91,3501.78,892.44,251.43,147.59
570,203,522,299,145,108,-20.97,-75.82,15973.18,-1520.47,3487.69,874.82,247.26,129.66
580,204,522,299,146,108,-21.26,-75.78,15968.12,-1542.64,3498.10,886.33,231.30,131.47
590,203,522,299,145,108,-21.14,-75.81,15964.91,-1551.31,3499.60,965.96,214.43,136.75
600,202,522,299,145,108,-20.40,-75.78,15970.47,-1530.74,3512.62,1018.97,212.36,128.26
610,202,522,297,145,107,-20.02,-75.77,15944.54,-1535.21,3540.99,1110.02,182.64,139.20
620,202,522,299,145,108,-18.52,-76.06,15959.32,-1476.45,3504.74,1225.12,177.26,158.29
630,202,522,299,145,108,-18.54,-75.89,15952.55,-1489.82,3530.50,1253.11,185.60,169.38
