timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,108,529,517,129,193,1.50,-76.80,15858.53,75.45,3623.99,-236.07,686.65,311.50
10,108,529,517,130,192,1.14,-76.67,15861.61,58.88,3633.59,-218.66,709.37,321.28
20,107,529,517,129,192,0.75,-76.43,15873.53,37.93,3645.91,-199.53,739.10,329.96
30,108,529,517,130,192,-0.02,-76.02,15881.65,-5.96,3694.82,-174.20,771.89,332.77
40,108,529,517,130,192,-0.47,-75.64,15881.17,-36.66,3754.48,-150.29,775.55,320.13
50,108,529,517,130,193,-0.99,-75.40,15886.31,-65.83,3816.15,-151.03,754.22,306.92
60,107,529,517,130,192,-1.55,-75.22,15892.39,-100.94,3868.74,-138.28,718.61,286.57
70,108,529,517,130,192,-1.64,-75.15,15898.37,-109.49,3896.51,-124.41,683.48,265.15
80,108,529,517,130,192,-1.71,-75.19,15897.45,-107.02,3910.68,-138.64,641.21,250.84
90,109,530,517,130,192,-2.12,-75.19,15894.38,-129.47,3927.15,-133.96,602.34,240.20
100,109,529,517,130,192,-2.10,-75.17,15892.26,-133.79,3947.39,-124.41,574.38,224.94
110,108,529,517,130,192,-2.19,-75.15,15886.25,-132.30,3961.42,-139.19,546.06,212.89
120,109,529,517,129,192,-2.36,-75.10,15882.54,-139.29,3979.15,-150.63,523.86,199.40
130,109,529,517,130,192,-2.32,-75.06,15865.21,-141.52,3983.79,-153.80,501.76,180.48
140,108,529,517,129,192,-2.47,-75.05,15860.95,-138.65,3986.40,-183.91,492.02,172.15
150,109,529,517,130,192,-2.93,-74.90,15851.50,-154.52,3999.48,-215.36,496.82,164.29
160,109,529,517,130,192,-3.38,-74.67,15835.52,-181.19,4025.71,-218.70,511.33,148.88
170,108,529,517,130,192,-3.59,-74.37,15814.75,-196.33,4072.82,-221.66,512.47,128.49
180,109,529,517,130,192,-3.72,-74.27,15806.81,-209.11,4105.18,-247.23,490.69,110.86
190,109,529,517,131,192,-4.02,-74.20,15804.07,-224.46,4123.12,-263.02,484.16,102.57
200,109,529,517,130,192,-3.68,-74.08,15792.66,-209.24,4132.17,-252.77,485.15,93.44
210,109,529,517,130,192,-3.30,-73.96,15784.03,-190.77,4152.96,-251.48,481.89,93.77
220,109,529,517,130,192,-3.41,-73.80,15776.43,-193.64,4185.91,-258.75,475.70,99.08
230,109,530,517,131,192,-3.57,-73.72,15774.21,-205.75,4214.01,-261.22,462.46,100.38
240,108,529,517,131,192,-3.81,-73.71,15777.50,-221.67,4227.71,-252.91,448.54,98.46
250,109,529,517,131,192,-4.14,-73.64,15785.22,-245.78,4253.13,-248.71,443.91,93.88
260,109,529,517,131,192,-4.72,-73.57,15792.36,-280.29,4276.27,-276.57,424.57,71.89
270,108,529,517,130,192,-4.99,-73.53,15793.14,-304.48,4312.86,-283.10,386.84,34.50
280,109,529,517,131,192,-4.60,-73.59,15795.29,-294.05,4340.81,-270.09,340.20,-5.38
290,109,529,517,131,192,-4.16,-73.66,15790.52,-270.15,4354.17,-270.24,303.79,-27.86
300,109,529,517,132,192,-4.02,-73.76,15784.19,-258.04,4363.66,-280.92,264.20,-42.87
310,109,529,517,131,192,-4.26,-73.85,15781.78,-270.34,4366.88,-275.13,232.34,-61.32
320,109,529,517,130,192,-4.39,-73.90,15773.69,-282.82,4374.54,-247.57,203.87,-91.96
330,108,529,517,131,191,-4.62,-73.99,15768.61,-294.28,4368.81,-251.99,184.33,-126.41
340,109,529,517,131,192,-4.90,-74.01,15759.78,-309.17,4368.57,-257.94,174.81,-175.24
350,108,529,517,131,192,-4.75,-74.03,15759.39,-305.31,4366.54,-237.90,170.87,-235.18
360,108,529,517,131,192,-4.08,-74.01,15745.42,-277.25,4366.41,-197.70,172.33,-283.87
370,109,529,517,131,192,-3.29,-74.03,15736.15,-238.98,4364.89,-188.52,166.96,-318.93
380,109,529,517,131,192,-3.12,-74.07,15739.74,-233.23,4360.05,-199.54,155.16,-340.23
