timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,98,351,330,157,109,-8.43,-58.59,13796.12,-1248.52,8326.96,-38.22,47.73,-154.72
10,98,351,331,157,109,-8.56,-58.57,13799.92,-1255.89,8326.01,-41.86,45.05,-146.19
20,98,352,331,157,110,-8.69,-58.53,13798.52,-1276.50,8326.91,-31.06,40.94,-141.23
30,97,352,331,157,108,-8.79,-58.52,13795.60,-1288.47,8327.77,-25.81,38.45,-144.87
40,97,352,330,157,110,-8.91,-58.50,13788.22,-1297.65,8333.78,-29.97,29.97,-152.72
50,97,352,331,157,109,-8.97,-58.58,13793.60,-1304.37,8325.09,-23.37,20.18,-153.29
60,97,353,331,157,109,-8.96,-58.65,13798.32,-1309.95,8314.83,-16.25,22.27,-154.17
70,97,352,331,158,110,-8.88,-58.65,13797.21,-1303.85,8308.29,-8.64,29.50,-155.86
80,97,352,331,157,110,-8.74,-58.57,13793.15,-1293.06,8312.88,3.64,43.03,-151.67
90,97,353,331,157,110,-8.46,-58.47,13790.69,-1271.60,8322.23,24.61,62.98,-141.14
100,98,353,331,157,109,-8.18,-58.35,13779.95,-1246.62,8338.12,34.43,72.93,-126.63
110,98,353,330,157,109,-8.21,-58.33,13775.16,-1250.09,8345.01,40.56,72.18,-107.85
120,97,353,331,157,110,-8.23,-58.35,13772.40,-1264.39,8337.16,61.78,66.17,-89.16
130,97,353,331,156,109,-8.35,-58.42,13769.78,-1265.97,8326.91,61.69,60.66,-80.00
140,98,353,331,157,110,-8.62,-58.49,13769.69,-1281.67,8313.16,43.71,51.23,-78.95
150,97,354,331,157,110,-8.75,-58.60,13778.81,-1292.59,8296.70,38.22,42.42,-79.65
160,98,354,331,157,109,-8.80,-58.65,13781.46,-1290.16,8281.67,19.21,42.00,-88.22
170,97,354,331,157,110,-8.78,-58.64,13784.39,-1280.65,8274.58,-4.75,50.20,-99.26
180,97,354,331,157,110,-8.71,-58.64,13788.37,-1266.22,8269.45,-21.06,59.94,-99.39
190,98,354,331,157,110,-8.66,-58.63,13796.35,-1253.71,8275.18,-37.66,71.94,-96.03
200,97,354,331,157,110,-8.70,-58.54,13801.94,-1256.02,8288.82,-53.28,84.89,-88.82
210,98,354,332,157,110,-8.83,-58.43,13796.84,-1270.22,8302.18,-57.56,89.90,-87.63
