timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,177,537,526,243,201,-16.24,-46.64,11858.56,-3127.18,10777.33,2.83,-216.63,-17.40
10,177,537,525,243,201,-16.19,-46.71,11869.83,-3114.22,10762.06,-6.21,-189.45,-27.03
20,177,537,525,243,201,-16.03,-46.58,11855.14,-3087.91,10746.96,2.90,-141.92,-20.18
30,176,537,525,243,200,-15.84,-46.52,11826.38,-3069.91,10748.61,18.71,-128.58,-23.67
40,177,537,525,243,201,-15.78,-46.49,11814.07,-3052.82,10760.38,-0.68,-131.40,1.56
50,177,537,526,243,201,-15.85,-46.55,11824.16,-3055.18,10757.36,-12.59,-128.68,22.23
60,177,536,526,243,201,-15.83,-46.52,11814.55,-3062.02,10769.29,-4.16,-121.84,37.27
70,177,536,525,243,201,-15.79,-46.59,11819.83,-3065.92,10768.23,13.69,-140.60,40.06
80,177,537,525,243,201,-15.76,-46.59,11810.43,-3067.02,10767.42,26.11,-142.07,46.90
90,177,537,526,243,201,-15.80,-46.63,11795.91,-3071.27,10754.25,33.35,-153.47,56.26
100,177,536,526,243,201,-15.90,-46.66,11791.52,-3082.91,10734.13,42.19,-151.79,61.05
110,177,537,526,243,201,-15.96,-46.73,11779.34,-3083.96,10716.03,45.23,-152.46,55.64
120,177,536,526,243,201,-16.06,-46.66,11764.78,-3089.76,10699.22,37.72,-128.93,68.16
130,177,536,525,243,201,-16.18,-46.66,11762.34,-3100.28,10686.26,30.53,-120.44,78.10
140,178,536,526,243,201,-16.28,-46.74,11767.62,-3101.06,10657.55,29.70,-98.71,81.75
150,177,536,526,243,201,-16.32,-46.77,11756.04,-3099.61,10635.27,25.67,-82.78,90.21
160,177,536,526,243,202,-16.56,-46.55,11734.24,-3132.63,10638.91,9.83,-50.44,97.90
170,177,536,526,243,201,-16.50,-46.58,11738.72,-3120.20,10620.16,8.04,-28.77,94.16
180,176,536,525,243,201,-16.59,-46.49,11723.79,-3128.19,10620.35,-6.21,-17.98,101.50
190,177,536,526,243,201,-16.75,-46.41,11719.80,-3142.18,10613.14,-23.30,8.12,111.77
200,177,536,526,243,202,-16.80,-46.29,11715.61,-3160.47,10622.68,-11.18,28.26,100.28
210,176,536,526,243,201,-16.79,-46.18,11708.03,-3156.64,10627.55,-15.32,50.10,87.62
220,176,536,526,243,201,-16.74,-46.14,11695.83,-3144.21,10631.57,-35.86,59.10,90.09
230,177,536,526,243,201,-16.67,-46.10,11684.64,-3138.40,10633.79,-35.47,64.69,90.68
240,177,536,526,243,202,-16.56,-46.06,11677.40,-3127.28,10629.70,-28.94,78.91,89.65
250,176,536,526,243,201,-16.67,-45.99,11667.93,-3137.72,10627.82,-41.60,91.76,96.52
260,177,536,526,243,201,-16.71,-45.90,11661.14,-3151.83,10645.22,-37.22,95.02,83.34
270,176,536,526,243,201,-16.63,-45.82,11653.68,-3151.84,10659.16,-24.45,101.12,65.57
280,177,536,526,243,201,-16.53,-45.79,11655.80,-3153.45,10671.20,-16.13,96.77,55.75
290,177,536,526,243,201,-16.49,-45.84,11647.01,-3148.58,10671.44,-18.58,87.93,55.71
300,177,536,525,243,201,-16.52,-45.89,11642.66,-3152.55,10676.67,-27.00,75.78,57.47
310,177,536,526,243,201,-16.52,-45.91,11631.12,-3151.12,10663.04,-21.85,70.79,53.60
320,177,536,526,243,202,-16.52,-45.99,11621.16,-3150.76,10648.49,-8.00,64.50,45.52
330,177,535,526,243,202,-16.56,-46.04,11620.31,-3152.03,10635.06,-8.80,63.43,36.64
340,177,536,525,243,201,-16.57,-46.08,11625.69,-3147.62,10624.51,-9.56,69.06,24.41
350,177,536,526,243,201,-16.54,-46.04,11622.21,-3135.64,10607.48,-14.99,96.20,19.09
360,177,536,526,243,200,-16.60,-45.93,11617.50,-3129.66,10600.11,-43.69,129.64,19.94
370,177,536,526,243,201,-16.66,-45.77,11613.02,-3140.38,10602.90,-49.05,164.46,13.04
380,177,536,526,243,201,-16.48,-45.68,11616.97,-3131.56,10615.96,-26.80,189.94,5.09
390,178,536,526,243,201,-16.35,-45.60,11606.32,-3113.98,10632.36,-29.96,199.24,13.43
400,177,536,526,243,201,-16.41,-45.66,11606.80,-3119.88,10634.34,-35.46,185.28,20.66
410,178,536,526,243,201,-16.50,-45.67,11609.86,-3131.09,10635.02,-39.04,184.06,21.33
420,177,536,526,243,201,-16.57,-45.59,11598.97,-3142.53,10641.67,-41.79,194.11,17.76
430,177,536,526,243,202,-16.49,-45.66,11602.02,-3125.21,10632.99,-48.70,196.21,11.52
440,177,536,525,243,201,-16.52,-45.58,11601.72,-3131.95,10642.34,-51.46,209.70,8.65
450,177,536,526,243,202,-16.49,-45.45,11586.63,-3141.15,10660.82,-35.64,213.71,-4.08
460,177,536,526,243,201,-16.41,-45.53,11592.30,-3129.29,10659.38,-34.86,207.38,-11.43
470,177,536,525,243,202,-16.49,-45.58,11595.29,-3124.63,10652.01,-63.26,214.71,-4.96
480,177,536,526,243,202,-16.56,-45.49,11588.92,-3137.39,10653.81,-67.15,232.42,-0.21
490,177,536,526,243,201,-16.46,-45.40,11584.48,-3129.53,10668.52,-62.44,243.50,-16.45
500,177,536,525,243,201,-16.32,-45.41,11588.45,-3096.65,10677.90,-76.47,253.58,-15.83
510,178,535,525,243,202,-16.32,-45.34,11587.23,-3082.42,10677.00,-103.85,278.10,6.16
520,178,536,526,243,201,-16.37,-45.30,11575.87,-3085.70,10677.35,-105.86,269.19,18.96
530,178,536,526,243,202,-16.49,-45.19,11562.87,-3103.61,10695.08,-111.56,263.83,15.91
540,178,536,526,243,201,-16.55,-45.21,11565.33,-3116.43,10700.93,-109.33,251.79,1.86
550,179,536,526,243,201,-16.71,-45.24,11556.66,-3141.81,10698.08,-102.87,236.00,-16.63
560,179,536,526,243,201,-16.65,-45.29,11556.83,-3142.12,10679.98,-91.67,236.15,-35.80
570,179,535,525,242,201,-16.60,-45.25,11559.59,-3120.01,10655.38,-113.74,278.89,-40.86
580,179,535,526,242,201,-16.86,-44.89,11548.61,-3134.01,10640.41,-150.45,373.75,-31.57
590,181,536,526,243,202,-16.99,-44.57,11524.38,-3167.31,10653.19,-135.33,427.91,-52.94
600,181,536,526,244,202,-17.17,-44.46,11520.96,-3191.34,10660.93,-145.76,447.12,-76.84
610,182,535,525,243,201,-17.38,-44.40,11514.51,-3215.18,10669.48,-168.33,452.91,-95.35
620,182,535,526,243,202,-17.59,-44.38,11513.39,-3247.22,10683.01,-175.16,444.66,-134.78
630,181,535,526,243,202,-17.69,-44.36,11504.12,-3267.26,10694.26,-186.00,432.93,-187.04
640,182,536,526,243,201,-17.87,-44.42,11508.11,-3272.29,10694.75,-228.95,420.48,-229.19
650,182,535,526,244,201,-17.97,-44.38,11496.51,-3279.48,10709.21,-263.90,409.61,-271.68
660,182,535,526,243,202,-17.93,-44.38,11481.88,-3260.31,10719.75,-301.16,397.63,-318.00
670,182,535,526,243,202,-17.93,-44.33,11466.39,-3250.69,10736.36,-336.10,386.40,-354.45
680,182,535,526,243,201,-17.90,-44.35,11450.67,-3235.36,10741.94,-364.05,370.13,-380.22
690,182,536,526,243,202,-17.93,-44.30,11426.33,-3229.99,10750.84,-391.04,355.37,-399.46
700,182,535,526,243,202,-17.86,-44.20,11404.22,-3221.29,10771.10,-409.19,353.75,-420.39
710,182,535,526,243,202,-17.80,-44.15,11388.81,-3214.02,10791.75,-419.88,337.32,-439.62
720,182,535,526,244,201,-17.70,-44.14,11373.97,-3202.12,10818.36,-426.34,314.25,-452.99
730,182,535,526,243,201,-17.51,-44.22,11374.07,-3178.82,10826.64,-431.77,304.49,-460.19
740,183,535,526,243,202,-17.28,-44.21,11359.76,-3151.48,10832.71,-419.53,298.41,-456.38
750,183,535,526,243,201,-17.08,-44.25,11350.38,-3126.70,10842.47,-412.06,284.24,-446.61
760,182,535,526,243,201,-16.95,-44.27,11353.26,-3112.17,10869.35,-410.05,270.18,-414.23
770,182,535,526,243,202,-16.87,-44.32,11362.19,-3113.76,10891.48,-387.70,245.47,-391.07
780,182,535,526,244,201,-16.70,-44.39,11357.08,-3104.47,10907.91,-361.12,209.05,-374.87
790,183,535,526,243,202,-16.53,-44.62,11353.23,-3084.85,10895.11,-352.81,170.15,-350.97
800,183,535,525,243,201,-16.58,-44.69,11338.17,-3097.20,10890.76,-338.27,143.29,-318.77
810,183,535,526,243,202,-16.48,-44.74,11329.26,-3090.34,10883.82,-303.36,133.62,-295.14
820,183,535,526,243,202,-16.46,-44.68,11313.80,-3090.63,10888.03,-290.14,139.19,-260.28
830,184,535,526,243,202,-16.52,-44.74,11315.51,-3102.30,10877.03,-274.08,130.93,-226.76
840,183,535,526,243,201,-16.53,-44.72,11302.93,-3109.98,10862.97,-247.93,129.99,-206.93
850,183,535,526,242,201,-16.50,-44.65,11301.99,-3116.28,10858.03,-219.73,139.69,-192.08
860,183,535,526,243,202,-16.52,-44.54,11292.09,-3131.27,10867.72,-204.44,151.00,-179.43
870,182,535,526,243,202,-16.49,-44.49,11285.68,-3139.70,10872.14,-183.32,144.35,-166.20
880,183,535,526,243,202,-16.37,-44.56,11284.40,-3143.92,10870.33,-152.36,121.18,-158.69
890,184,535,525,243,202,-16.43,-44.68,11292.38,-3146.52,10861.61,-158.39,106.58,-139.56
900,184,535,525,243,202,-16.47,-44.71,11301.76,-3160.80,10859.73,-146.32,100.45,-121.93
910,184,535,525,243,202,-16.39,-44.72,11312.27,-3170.36,10862.95,-118.55,103.82,-108.69
920,183,535,526,243,202,-16.29,-44.77,11321.86,-3162.04,10855.00,-98.53,106.08,-93.15
930,184,535,526,243,202,-16.26,-44.75,11319.76,-3153.34,10838.85,-98.95,116.98,-72.29
940,184,535,525,243,201,-16.17,-44.73,11329.58,-3142.87,10837.50,-90.25,135.08,-50.18
950,183,535,526,243,202,-16.15,-44.63,11321.50,-3135.93,10837.63,-93.94,161.43,-23.67
960,184,535,526,243,202,-16.25,-44.53,11313.42,-3153.13,10847.15,-81.09,165.25,-6.64
970,183,535,526,243,202,-16.24,-44.48,11324.55,-3163.27,10859.99,-63.94,177.04,-3.80
980,183,535,525,243,202,-16.17,-44.44,11326.92,-3168.51,10876.99,-55.89,179.99,2.24
990,184,535,526,243,202,-16.28,-44.40,11318.78,-3186.28,10901.94,-60.30,165.74,8.92
1000,184,535,526,243,202,-16.37,-44.37,11304.44,-3206.77,10913.84,-46.83,150.70,1.08
1010,183,535,526,243,202,-16.39,-44.38,11298.02,-3206.43,10907.15,-39.44,140.77,-8.83
1020,184,535,525,243,201,-16.36,-44.46,11300.71,-3210.91,10901.59,-23.77,130.93,-15.48
1030,184,535,525,243,202,-16.27,-44.49,11298.08,-3197.16,10895.11,-21.13,130.28,-8.71
1040,183,535,526,243,202,-16.26,-44.50,11285.97,-3193.11,10887.36,-16.72,125.57,12.72
1050,182,535,526,243,202,-16.33,-44.54,11273.67,-3202.05,10875.79,-15.74,106.99,27.99
1060,183,534,526,243,202,-16.32,-44.63,11272.39,-3197.35,10873.20,-5.05,90.14,31.99
1070,183,534,526,244,202,-16.37,-44.63,11272.17,-3202.88,10866.14,-8.25,86.38,45.59
1080,183,534,526,243,202,-16.55,-44.68,11270.56,-3226.14,10869.63,-14.88,58.81,52.26
1090,183,534,526,243,202,-16.71,-44.75,11282.24,-3243.03,10859.15,-22.04,57.42,54.00
1100,183,534,525,243,202,-16.79,-44.79,11299.32,-3255.48,10850.59,-15.79,67.20,49.75
1110,183,534,526,243,201,-16.77,-44.74,11298.16,-3253.30,10853.46,-16.75,75.74,45.71
1120,183,534,526,243,202,-16.71,-44.81,11307.45,-3244.84,10851.99,-17.26,69.76,45.82
1130,184,534,526,243,202,-16.76,-44.93,11321.88,-3245.00,10848.59,-27.80,51.52,43.18
1140,184,534,526,243,202,-16.79,-44.95,11332.38,-3246.55,10846.16,-30.61,52.74,41.62
1150,183,534,526,244,202,-16.77,-45.03,11339.36,-3244.22,10847.45,-25.83,44.55,32.44
1160,184,534,526,243,202,-16.78,-45.10,11350.99,-3235.01,10833.28,-36.49,44.58,29.92
1170,183,534,526,243,202,-16.90,-45.21,11366.04,-3230.06,10818.02,-67.31,35.50,22.47
1180,183,534,526,243,202,-17.09,-45.35,11401.34,-3241.56,10802.52,-84.75,39.62,21.15
1190,183,534,525,244,202,-17.15,-45.31,11419.87,-3255.48,10800.59,-83.76,65.44,7.54
1200,184,534,525,243,202,-17.06,-45.33,11429.48,-3250.70,10799.76,-82.32,61.22,-18.73
