timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,102,345,313,148,101,0.62,-65.63,14819.11,79.26,6798.15,-93.98,-365.08,-100.33
10,101,346,313,147,101,0.29,-65.62,14816.76,42.89,6809.04,-69.33,-368.62,-104.07
20,102,345,313,148,101,0.52,-65.69,14818.52,52.35,6801.19,-41.66,-367.09,-108.51
30,102,345,313,148,101,0.63,-65.75,14820.79,63.93,6788.53,-58.43,-363.69,-104.34
40,101,346,314,148,101,0.40,-65.85,14813.15,47.73,6775.91,-74.61,-358.95,-100.77
50,102,345,313,148,101,0.21,-65.97,14817.29,32.95,6752.11,-73.18,-351.26,-102.98
60,102,345,313,147,100,0.14,-66.00,14812.23,26.30,6736.50,-67.57,-333.49,-108.78
70,103,345,312,147,101,0.08,-65.99,14807.22,20.79,6724.48,-73.39,-313.12,-112.49
80,102,345,313,147,102,0.14,-65.98,14799.45,31.55,6711.06,-91.62,-292.86,-116.82
90,102,346,313,148,101,0.06,-66.00,14789.88,29.57,6698.10,-101.59,-275.02,-119.23
100,102,345,313,148,101,0.05,-65.95,14789.19,29.09,6695.00,-100.06,-251.47,-122.47
110,102,346,313,147,101,0.16,-65.89,14780.93,26.24,6699.65,-84.96,-230.49,-121.94
120,102,345,313,148,100,0.26,-65.82,14775.28,42.12,6706.86,-93.41,-210.42,-116.90
130,103,346,313,148,101,0.13,-65.78,14767.32,30.62,6710.52,-88.79,-203.65,-114.05
140,102,346,313,148,102,0.30,-65.74,14764.75,42.49,6707.39,-83.15,-191.37,-109.30
150,103,345,313,148,102,0.35,-65.75,14758.91,48.36,6708.03,-97.19,-191.60,-105.58
160,102,345,313,148,101,0.35,-65.75,14762.97,52.94,6706.82,-100.73,-181.42,-97.41
170,102,346,313,148,100,0.40,-65.72,14762.02,51.90,6715.48,-77.90,-175.35,-92.44
180,102,345,313,148,101,0.66,-65.75,14769.12,74.30,6714.11,-73.15,-171.58,-84.06
190,102,345,313,148,100,0.56,-65.83,14776.66,73.79,6703.00,-86.69,-170.10,-68.81
