timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,212,527,517,140,108,-20.35,-62.43,14357.08,-2683.46,7113.20,387.89,-557.86,-312.95
10,212,527,517,139,108,-20.40,-62.55,14350.23,-2687.09,7107.34,382.80,-595.32,-326.55
20,212,528,517,140,108,-20.26,-62.83,14351.92,-2684.34,7111.77,390.96,-614.50,-335.22
30,211,528,517,140,108,-20.25,-63.00,14360.52,-2663.52,7078.18,368.16,-593.43,-317.11
40,212,528,517,140,108,-20.28,-63.01,14344.70,-2667.54,7061.87,356.65,-577.90,-295.26
50,212,528,517,140,108,-20.27,-63.15,14351.26,-2657.77,7041.38,343.32,-570.01,-283.09
60,212,528,517,140,108,-20.30,-63.17,14353.90,-2653.08,7031.51,328.55,-546.76,-271.69
70,211,528,517,139,108,-20.30,-63.19,14346.80,-2643.02,7015.54,299.18,-526.17,-257.80
80,212,528,517,140,108,-20.36,-63.29,14359.06,-2637.27,6986.96,277.57,-506.86,-251.06
90,213,528,517,140,107,-20.29,-63.36,14367.31,-2620.01,6951.61,277.69,-461.47,-237.36
100,213,528,517,140,108,-20.14,-63.37,14363.94,-2595.81,6934.83,264.20,-421.30,-223.84
110,212,528,517,140,109,-20.12,-63.28,14363.55,-2584.62,6921.89,247.14,-367.73,-197.25
120,212,528,517,140,108,-20.25,-63.17,14365.97,-2586.99,6922.79,227.44,-330.49,-179.54
130,212,528,517,140,109,-20.39,-63.01,14368.47,-2604.64,6927.65,227.57,-288.22,-170.81
140,212,528,517,140,108,-20.30,-62.94,14377.45,-2597.21,6931.47,230.89,-255.26,-168.77
150,212,528,517,140,108,-20.26,-62.86,14389.37,-2589.75,6934.10,208.74,-218.05,-162.93
160,212,528,517,140,108,-20.38,-62.73,14397.11,-2598.06,6940.59,195.01,-179.49,-154.99
170,212,528,517,140,108,-20.21,-62.63,14402.05,-2588.76,6952.56,194.96,-150.37,-156.09
180,212,528,517,140,108,-20.15,-62.52,14404.35,-2589.32,6963.13,196.31,-120.95,-153.43
