timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,88,532,517,154,90,-4.40,-67.69,15083.18,-467.01,6077.02,288.80,227.44,-47.35
10,88,532,517,153,91,-4.31,-67.68,15079.62,-460.86,6087.16,276.51,224.77,-53.63
20,88,532,517,153,91,-4.03,-67.70,15081.44,-443.61,6090.61,280.19,212.73,-50.50
30,88,532,518,153,91,-3.80,-67.73,15081.57,-426.23,6089.88,264.03,206.69,-34.87
40,88,532,518,152,91,-4.02,-67.72,15076.29,-441.72,6091.38,248.28,198.26,-26.53
50,89,532,518,153,91,-3.84,-67.75,15079.88,-437.04,6091.41,273.91,187.60,-26.95
60,89,532,517,153,91,-3.63,-67.75,15076.08,-420.18,6088.64,262.22,185.27,-16.41
70,89,532,518,154,89,-3.92,-67.79,15079.88,-435.97,6079.41,236.01,178.50,-5.48
80,88,532,517,153,90,-4.15,-67.82,15080.28,-455.98,6070.44,236.71,179.78,-7.51
90,89,532,518,154,91,-4.18,-67.84,15085.67,-457.98,6063.32,237.37,174.34,-21.24
100,88,532,518,154,91,-4.12,-67.84,15089.39,-449.08,6063.55,208.90,172.72,-27.42
110,88,532,517,153,91,-4.40,-67.81,15098.92,-467.62,6072.37,186.76,168.64,-34.60
120,88,532,517,154,91,-4.40,-67.91,15106.77,-465.24,6058.95,173.07,157.45,-45.67
130,88,532,517,154,91,-4.51,-68.02,15110.43,-465.98,6040.41,140.67,148.53,-55.79
140,88,532,517,154,91,-4.45,-68.03,15110.11,-460.28,6032.79,127.48,148.96,-71.20
150,89,532,517,153,90,-4.12,-68.10,15101.00,-431.87,6022.75,94.56,137.76,-84.44
160,88,532,517,153,90,-4.36,-68.12,15099.95,-427.47,6012.41,40.43,140.02,-87.62
170,88,532,517,153,90,-4.44,-68.08,15099.16,-431.90,6002.39,28.86,160.37,-97.29
180,88,532,517,154,92,-4.20,-67.90,15082.40,-410.91,6013.87,18.92,179.15,-109.97
190,89,532,517,154,91,-4.04,-67.74,15077.28,-397.36,6037.18,-5.13,185.84,-112.72
200,88,532,517,153,90,-3.88,-67.62,15067.01,-380.29,6048.12,-16.02,198.40,-114.09
210,88,532,517,153,91,-3.62,-67.51,15064.66,-357.68,6054.31,-30.87,220.93,-102.33
220,88,532,517,154,92,-3.65,-67.34,15049.83,-358.99,6075.00,-42.83,235.88,-88.97
230,89,532,517,154,90,-3.67,-67.28,15047.34,-359.44,6085.25,-53.09,240.54,-82.77
240,87,532,517,154,91,-3.74,-67.26,15045.57,-361.27,6084.98,-69.83,245.01,-78.98
250,89,532,516,153,91,-3.96,-67.18,15039.69,-370.01,6085.33,-85.59,263.91,-74.98
260,88,532,517,154,91,-4.05,-67.13,15030.91,-382.31,6097.47,-86.81,268.97,-82.53
270,88,532,517,154,91,-3.91,-67.12,15043.16,-375.19,6100.99,-90.27,277.92,-87.00
280,88,532,517,154,90,-3.90,-67.04,15035.60,-375.23,6110.34,-91.01,292.02,-78.40
290,88,532,517,153,91,-3.92,-67.02,15035.62,-377.67,6120.83,-103.21,291.12,-75.73
300,88,532,517,154,91,-3.91,-67.01,15034.64,-371.79,6134.79,-124.15,279.67,-70.70
310,89,532,517,153,91,-4.21,-66.95,15040.31,-392.20,6151.25,-145.49,275.68,-68.71
320,89,532,517,154,91,-4.34,-66.97,15037.69,-401.59,6147.48,-149.46,276.40,-76.28
330,89,533,516,153,91,-4.39,-67.01,15043.01,-398.71,6142.31,-172.29,276.48,-82.41
340,89,532,517,154,90,-4.35,-66.96,15034.26,-395.37,6152.79,-181.18,275.10,-96.39
350,89,532,517,154,90,-4.12,-66.89,15031.75,-387.40,6158.35,-179.82,285.50,-107.57
360,89,532,516,154,90,-3.86,-66.76,15033.76,-369.03,6185.64,-180.23,289.07,-113.64
370,88,532,516,154,91,-3.67,-66.57,15024.67,-357.18,6226.56,-171.37,292.62,-114.61
380,88,532,516,154,91,-3.48,-66.43,15016.84,-348.12,6271.83,-154.40,272.64,-114.48
390,89,532,516,154,91,-3.30,-66.38,15012.00,-337.92,6303.44,-149.18,244.96,-110.31
400,88,532,516,154,91,-3.19,-66.44,15014.40,-328.22,6321.46,-151.32,209.21,-102.39
410,89,532,517,154,91,-3.09,-66.56,15013.08,-319.41,6320.39,-153.85,177.90,-96.37
420,89,532,516,154,91,-3.11,-66.69,15012.42,-323.04,6304.17,-154.31,163.00,-89.90
430,88,532,516,154,91,-2.95,-66.76,15004.40,-317.09,6287.36,-130.49,161.75,-89.41
440,89,532,516,154,91,-2.69,-66.83,14989.98,-300.43,6270.00,-113.12,159.97,-88.44
450,89,532,516,154,90,-2.81,-66.86,14983.88,-305.01,6263.89,-112.46,159.17,-79.52
460,89,532,516,154,91,-2.83,-66.82,14978.09,-309.36,6261.10,-101.39,171.01,-71.14
470,88,532,516,154,91,-2.78,-66.73,14970.98,-311.49,6272.64,-90.17,187.61,-61.08
480,88,533,516,153,91,-2.84,-66.69,14960.23,-312.52,6284.61,-88.16,189.23,-50.08
490,87,532,516,153,91,-2.93,-66.70,14964.02,-316.09,6280.78,-100.00,187.67,-39.08
500,88,532,516,154,90,-3.03,-66.65,14961.62,-325.49,6289.14,-92.25,187.28,-30.37
510,89,532,516,154,91,-2.81,-66.61,14960.94,-308.81,6299.09,-78.59,191.72,-23.30
520,89,532,516,153,91,-2.58,-66.57,14952.69,-291.37,6316.13,-73.11,185.13,-10.14
