timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,204,477,447,223,170,-25.24,-9.37,2564.87,-6635.74,14123.04,-173.89,-13.81,-60.21
10,204,477,447,223,170,-25.32,-9.37,2568.42,-6654.75,14123.08,-158.89,-10.07,-49.80
20,204,477,447,223,170,-25.30,-9.36,2570.80,-6662.82,14111.93,-140.90,-2.47,-39.31
30,203,476,447,223,170,-25.21,-9.29,2566.66,-6654.07,14113.53,-116.61,9.11,-24.35
40,204,477,447,223,170,-25.07,-9.29,2565.13,-6637.97,14119.66,-102.32,12.45,-14.68
50,204,476,447,223,170,-25.05,-9.32,2573.87,-6633.87,14116.67,-94.06,17.43,-10.54
60,204,477,447,223,170,-25.02,-9.33,2579.58,-6635.18,14117.24,-79.51,20.71,-0.92
70,204,477,447,223,170,-24.99,-9.33,2576.20,-6641.22,14113.18,-58.58,25.42,14.53
80,204,477,447,224,170,-24.94,-9.29,2571.59,-6639.56,14112.12,-38.30,30.45,27.95
90,204,477,447,223,169,-24.85,-9.27,2576.21,-6623.98,14107.11,-24.49,40.98,38.35
100,203,477,446,223,170,-24.81,-9.25,2580.40,-6619.58,14104.35,-18.11,50.68,45.44
110,204,477,447,223,170,-24.76,-9.25,2586.98,-6608.00,14107.54,-5.06,59.30,54.42
120,204,477,447,223,170,-24.70,-9.25,2588.63,-6596.00,14103.76,0.80,69.68,60.44
130,204,477,447,223,170,-24.71,-9.21,2583.60,-6589.00,14109.77,-3.74,77.30,62.72
140,204,477,447,224,169,-24.69,-9.15,2583.02,-6580.55,14112.88,-0.56,84.43,63.54
150,204,477,447,223,170,-24.68,-9.13,2581.87,-6569.72,14108.84,-4.33,91.16,63.86
160,204,477,448,222,170,-24.71,-9.11,2578.17,-6565.04,14102.19,-8.71,95.85,60.67
170,205,477,448,224,169,-24.74,-9.07,2573.67,-6562.18,14105.68,-18.88,99.81,57.53
180,204,477,447,223,170,-24.75,-9.03,2569.58,-6562.47,14101.00,-15.68,101.92,52.66
190,204,477,448,223,170,-24.80,-9.01,2563.90,-6569.35,14103.35,-20.95,106.42,49.07
200,204,477,447,223,170,-24.83,-8.99,2560.11,-6590.48,14108.98,-1.60,104.35,55.77
210,205,477,448,223,170,-24.73,-8.99,2558.70,-6580.36,14118.33,4.88,105.03,52.18
220,204,477,448,223,170,-24.70,-9.00,2562.57,-6577.34,14119.01,10.49,106.98,49.82
230,204,477,448,223,170,-24.71,-9.05,2570.44,-6576.87,14116.26,13.91,107.23,45.03
240,204,477,448,223,169,-24.69,-8.99,2561.92,-6575.43,14119.25,20.17,123.37,45.33
250,204,477,448,223,170,-24.70,-8.96,2559.42,-6573.26,14120.09,18.21,129.90,40.76
260,204,477,448,223,170,-24.69,-8.91,2553.65,-6572.00,14118.28,25.20,138.56,43.52
