timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,90,513,271,128,91,-12.44,6.87,-1868.31,-3304.21,14855.36,197.95,-96.78,361.29
10,90,513,272,129,91,-12.22,6.93,-1869.69,-3264.80,14846.00,203.55,-76.04,355.63
20,90,513,272,129,91,-12.22,7.00,-1874.41,-3239.56,14821.29,163.22,-73.29,348.10
30,90,513,272,128,91,-12.30,7.05,-1869.09,-3244.38,14787.83,161.71,-60.92,344.79
40,90,513,272,128,90,-12.24,7.21,-1889.63,-3242.76,14778.04,176.48,-39.28,337.55
50,90,513,272,129,91,-12.31,7.35,-1903.15,-3250.03,14776.74,163.00,-16.36,313.98
60,91,513,272,129,91,-12.25,7.46,-1907.99,-3252.52,14778.30,175.45,13.06,296.08
70,90,513,272,129,91,-12.21,7.56,-1913.59,-3252.50,14795.58,176.88,43.15,276.12
80,91,513,272,128,91,-12.11,7.65,-1920.51,-3246.67,14822.40,179.34,61.80,253.72
90,91,513,274,129,92,-12.09,7.68,-1924.29,-3244.54,14834.68,171.52,70.91,237.38
100,91,513,273,129,91,-12.09,7.82,-1941.07,-3263.91,14856.95,192.34,93.61,223.56
110,91,513,272,129,91,-12.12,7.87,-1951.62,-3276.32,14885.10,189.83,102.73,194.03
120,91,513,273,129,91,-12.05,7.87,-1967.24,-3276.90,14915.85,189.63,102.54,158.38
130,92,513,273,129,91,-12.02,7.78,-1973.68,-3265.86,14939.45,173.55,81.07,129.41
140,91,514,273,129,90,-12.02,7.74,-1967.39,-3266.56,14939.08,163.27,80.56,106.04
150,91,513,272,129,91,-11.89,7.81,-1968.42,-3251.84,14941.73,177.81,97.18,85.99
160,91,513,273,129,91,-11.62,7.89,-1989.40,-3214.64,14964.04,194.27,99.93,68.94
170,91,514,272,130,92,-11.71,7.90,-2013.13,-3187.31,14981.04,133.81,79.78,48.79
180,92,514,274,129,92,-11.95,7.81,-2011.28,-3207.15,14977.79,98.47,63.59,32.60
190,91,513,273,130,92,-11.90,7.87,-2022.31,-3214.39,14975.50,119.19,71.06,24.82
200,92,514,273,130,91,-11.81,7.96,-2037.00,-3195.67,14978.32,115.38,77.46,15.73
210,92,514,274,130,91,-11.86,7.95,-2042.15,-3180.09,14975.20,76.81,70.13,7.40
220,92,514,274,130,91,-11.89,7.96,-2044.44,-3183.48,14976.84,64.97,65.48,-0.57
230,92,514,274,130,91,-11.82,7.96,-2052.42,-3169.51,14971.60,71.13,66.20,0.75
240,92,513,274,130,92,-11.85,7.94,-2054.20,-3170.63,14976.82,69.62,72.09,0.97
250,92,514,273,130,92,-11.81,8.05,-2070.89,-3166.90,14991.38,67.89,83.44,6.37
260,92,514,275,130,92,-11.90,8.07,-2084.14,-3184.55,15016.01,65.04,86.47,9.90
270,92,513,272,130,92,-11.85,8.04,-2086.73,-3187.53,15046.01,75.24,81.04,8.81
280,92,514,274,130,91,-11.84,8.02,-2096.40,-3195.35,15093.11,73.73,74.09,5.62
290,92,514,274,130,92,-11.74,7.97,-2106.58,-3202.58,15131.25,99.24,58.19,5.13
300,92,514,273,129,91,-11.60,7.87,-2105.85,-3196.85,15159.49,128.73,40.73,-2.07
310,91,513,274,130,92,-11.28,7.81,-2109.76,-3181.41,15199.32,188.64,29.09,-1.32
320,92,514,274,130,92,-10.94,7.77,-2125.67,-3132.94,15238.75,215.76,1.14,10.65
330,92,514,275,130,92,-11.02,7.62,-2132.59,-3121.69,15255.01,176.72,-47.27,23.01
340,92,513,275,130,92,-11.23,7.44,-2120.96,-3150.41,15238.26,168.39,-84.76,29.51
350,93,514,273,131,92,-11.14,7.37,-2121.11,-3133.09,15206.55,171.07,-114.22,25.04
360,92,514,274,130,91,-11.25,7.19,-2103.05,-3109.43,15144.82,125.86,-149.96,28.04
370,92,514,274,131,92,-11.44,7.08,-2073.10,-3129.56,15093.38,121.57,-148.06,33.43
380,93,514,274,130,92,-11.34,7.13,-2071.44,-3117.68,15071.51,142.69,-132.31,44.96
390,93,514,274,130,92,-11.45,7.09,-2048.47,-3111.80,15055.94,115.26,-125.79,45.26
400,93,514,274,130,92,-11.40,7.04,-2035.85,-3103.21,15050.54,113.95,-128.25,49.20
410,93,514,274,130,92,-11.32,7.01,-2022.66,-3077.45,15050.01,99.60,-122.14,51.54
420,93,514,274,131,91,-11.21,7.02,-2007.72,-3057.78,15049.51,91.02,-106.58,65.26
430,93,514,275,131,92,-11.25,7.17,-2017.74,-3064.09,15049.63,88.37,-94.85,88.15
440,94,514,275,130,92,-11.57,7.15,-2006.05,-3088.88,15032.95,38.20,-86.06,84.84
450,93,514,274,131,92,-11.83,7.10,-2001.35,-3123.04,15037.91,10.54,-94.66,59.30
460,94,514,275,130,92,-11.78,7.02,-1988.68,-3125.29,15030.21,20.16,-96.67,51.54
470,93,514,275,131,92,-11.88,7.00,-1969.05,-3143.02,15019.90,16.40,-81.09,45.06
480,93,514,273,130,92,-11.86,6.97,-1965.19,-3141.07,15035.90,9.08,-82.59,23.76
490,93,514,275,131,93,-11.86,6.81,-1957.73,-3124.62,15051.91,-22.27,-111.06,-0.68
500,93,515,275,130,93,-11.90,6.65,-1932.05,-3123.99,15039.31,-35.81,-126.40,-5.05
510,93,514,274,131,92,-11.84,6.57,-1908.05,-3124.59,15035.35,-18.77,-117.43,-5.79
520,93,514,275,131,92,-11.66,6.58,-1904.24,-3105.96,15039.98,1.57,-109.01,-7.06
530,92,514,276,131,91,-11.75,6.58,-1893.23,-3091.06,15030.38,-44.61,-97.71,-17.15
540,91,514,276,132,91,-11.89,6.59,-1888.77,-3103.11,15031.26,-81.58,-68.28,-20.49
