timestamp,flex_1,flex_2,flex_3,flex_4,flex_5,kalman_pitch,kalman_roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1.0,0.042,0.0,0.103,0.0,17.67,39.38,5669.28,-5892.56,19829.52,-1334.74,-757.62,852.46
19,1.0,0.0,0.0,0.063,0.0,14.5,25.73,5445.28,-5964.56,20049.52,-1223.74,213.38,1151.46
39,1.0,0.0,0.0,0.113,0.0,13.08,18.24,5281.28,-6636.56,19825.52,-571.74,400.38,796.46
58,1.0,0.0,0.0,0.113,0.0,11.95,14.1,5633.28,-6212.56,19613.52,519.26,94.38,246.46
79,1.0,0.0,0.0,0.068,0.0,10.78,11.87,6109.28,-5228.56,19941.52,400.26,-435.62,170.46
100,1.0,0.0,0.0,0.063,0.0,10.02,9.81,5749.28,-5664.56,20189.52,-1042.74,-863.62,-250.54
119,1.0,0.0,0.0,0.158,0.0,9.4,7.66,5673.28,-6596.56,20153.52,-1803.74,-1277.62,-817.54
140,1.0,0.08,0.0,0.108,0.0,8.75,5.55,5777.28,-7484.56,19833.52,-1593.74,-2065.62,-990.54
160,1.0,0.0,0.844,0.083,0.0,8.4,4.02,5229.28,-7184.56,19921.52,-785.74,-1948.62,-1067.54
180,1.0,0.0,0.0,0.103,0.0,8.11,3.01,5133.28,-6496.56,20789.52,-451.74,-1573.62,-1628.54
200,1.0,0.049,0.0,0.103,0.0,7.74,2.24,5621.28,-6232.56,19753.52,-295.74,-1565.62,-1409.54
219,1.0,0.0,0.0,0.223,0.0,7.48,1.54,6205.28,-5608.56,20737.52,-1667.74,523.38,-657.54
239,1.0,0.0,0.0,0.143,0.0,7.7,0.36,5209.28,-6704.56,22141.52,-3522.74,2181.38,945.46
259,1.0,0.0,0.0,0.0,0.0,8.33,-1.04,4125.28,-7680.56,23485.52,-4260.74,3804.38,1576.46
279,0.565,0.018,0.0,0.158,0.0,9.16,-2.38,3793.28,-9400.56,24041.52,-2138.74,5341.38,2795.46
300,1.0,0.018,0.0,0.083,0.0,10.49,-3.05,2297.28,-9596.56,25177.52,1757.26,7683.38,3079.46
319,1.0,0.01,0.0,0.098,0.0,12.21,-2.74,2309.28,-7692.56,25561.52,5717.26,11283.38,4407.46
340,1.0,0.0,0.0,0.028,0.0,14.3,-2.1,2089.28,-7464.56,25889.52,7872.26,14515.38,6201.46
359,1.0,0.0,0.762,0.063,0.0,16.63,-0.94,277.28,-5840.56,26377.52,9896.26,15300.38,8793.46
379,1.0,0.0,0.0,0.038,0.0,19.24,0.76,-530.72,-4560.56,24621.52,12540.26,16808.38,11023.46
399,1.0,0.0,0.0,0.208,0.0,21.77,2.43,329.28,-6148.56,23689.52,15057.26,18009.38,11319.46
420,1.0,0.0,0.0,0.558,0.0,24.09,4.8,1825.28,-3784.56,21605.52,17410.26,18573.38,10600.46
439,1.0,0.0,0.0,0.798,0.657,26.73,7.08,2105.28,-3912.56,20421.52,17761.26,21633.38,9372.46
459,1.0,0.057,0.0,0.873,0.0,30.19,9.66,-918.72,-2332.56,19409.52,18260.26,24359.38,8078.46
